名詞,判定,TF-IDF値,出現回数
職階,0,0.3777163362,1
担当者名,1,0.3777163362,1
識別番号,1,0.3727971378,2
固有,0,0.3727971378,2
学生,0,0.3712277801,7
確認,0,0.3696934369,7
学生,1,0.3696934369,7
され,0,0.3669391098,3
企業,1,0.3661911699,5
複数,0,0.3658849195,1
同一,0,0.3658849195,1
よる,0,0.3658849195,1
も,0,0.3658849195,1
発行,0,0.3638559831,3
され,0,0.3635703392,3
学生情報,1,0.3628608146,2
同,0,0.3622604038,1
企業担当者連絡先電話番号,1,0.3622604038,1
企業担当者名,1,0.3622604038,1
企業担当者id,1,0.3622604038,1
メールアドレス,1,0.3622604038,1
学籍番号,1,0.3610562018,5
学生id,1,0.3610562018,5
提供,0,0.3592716755,3
参加決定者,1,0.3592473415,1
なる,0,0.3592473415,1
すべて,0,0.3592473415,1
関する,0,0.3577203742,1
評定情報,1,0.3577203742,1
当該年度,1,0.3577203742,1
参加学生,1,0.3577203742,1
企業,1,0.3536989739,5
連絡先電話番号,1,0.353329203,3
連絡先メールアドレス,1,0.353329203,3
氏名,1,0.353329203,3
は,0,0.353329203,3
今回,0,0.3527271209,3
一覧,0,0.3497563396,13
開催年度,1,0.3481984961,2
実施開始日,1,0.3442636095,1
実施終了日,1,0.3442636095,1
実施日数,1,0.3442636095,1
発行,0,0.3409459005,3
パスワード,0,0.3403498419,4
こと,0,0.340348695,28
本学,0,0.3402662749,1
希望,0,0.3402662749,1
向け,0,0.3402662749,1
参加,0,0.3402662749,1
項目,0,0.3402418602,6
後,0,0.3374901258,4
パスワード,1,0.3374901258,4
インターンシップ,1,0.3333087653,6
インターンシップ名,1,0.3322331017,4
インターンシップid,1,0.3322331017,4
今回,0,0.3318585221,3
パスワード,1,0.3271676871,4
確認,0,0.3267941755,7
エントリ登録,0,0.3265608427,2
年度,1,0.3233258778,2
後,0,0.3216869937,4
エントリ,0,0.3206366493,2
た,0,0.3206366493,2
指定,0,0.3192737952,2
年度,1,0.3192737952,2
学生氏名,1,0.3184489305,3
登録,0,0.3182050737,12
学生,1,0.3179131227,7
次,0,0.3165544387,1
対する,0,0.3165544387,1
および,0,0.3165544387,1
5段階評価,0,0.3165544387,1
後,0,0.3162401615,4
パスワード,1,0.3162401615,4
企業,1,0.3119669526,5
確認,0,0.3116079801,7
連絡先電話番号,1,0.3083175671,3
連絡先メールアドレス,1,0.3083175671,3
氏名,1,0.3083175671,3
情報,1,0.3083175671,3
企業id,1,0.3083175671,3
開催年度,1,0.3072633182,2
学籍番号,1,0.3068069159,5
教員,1,0.3057988765,13
できる,0,0.3057988765,13
開催,0,0.3036956037,2
予定,0,0.3036956037,2
エントリ,0,0.3036956037,2
こと,0,0.3008546001,28
また,0,0.2986599663,3
学生id,1,0.2960541029,5
インターンシップ名,1,0.2953733746,4
インターンシップid,1,0.2953733746,4
と,0,0.2953733746,4
インターンシップ,1,0.2939825316,6
行っ,0,0.2934444634,1
参加決定,0,0.2934444634,1
インターンシップエントリ,1,0.2934444634,1
を,0,0.2934444634,1
今回,0,0.2932419272,3
また,0,0.2932419272,3
は,0,0.2932419272,3
項目,0,0.2930960036,6
する,0,0.290591287,28
こと,0,0.290591287,28
し,0,0.288163245,5
こと,0,0.2868738223,28
教員,1,0.2829957154,13
一覧,0,0.2829957154,13
できる,0,0.2829957154,13
確認,0,0.2817348011,7
学生氏名,1,0.2810111938,3
確認,0,0.2784037176,7
企業名,1,0.2775641687,7
学籍番号,1,0.2765192727,5
学生id,1,0.2765192727,5
と,0,0.2742741761,4
学生,1,0.2642028656,7
エントリ登録,0,0.2619060425,2
インターンシップ名,1,0.2606484641,4
インターンシップid,1,0.2606484641,4
と,0,0.2606484641,4
登録,0,0.2603056781,12
こと,0,0.2593718533,28
企業,1,0.2593358895,5
学生氏名,1,0.2583930983,3
する,0,0.2563051774,28
こと,0,0.2563051774,28
し,0,0.2546312349,5
登録,0,0.2543998865,12
し,0,0.2535489344,5
登録,0,0.2532315359,12
登録,0,0.2514256455,12
教員,1,0.2501568658,13
一覧,0,0.2501568658,13
できる,0,0.2501568658,13
一覧,0,0.2479591785,13
できる,0,0.2479591785,13
企業名,1,0.246769707,7
一覧,0,0.2466490053,13
インターンシップ,0,0.2443855694,6
学籍番号,1,0.2440109025,5
学生id,1,0.2440109025,5
教員,1,0.2433585306,13
できる,0,0.2433585306,13
項目,0,0.2419646461,6
教員,1,0.2416230483,13
できる,0,0.2416230483,13
インターンシップ名,1,0.2396693288,4
インターンシップid,1,0.2396693288,4
と,0,0.2396693288,4
インターンシップ,0,0.2389322234,6
教員,1,0.2385320226,13
一覧,0,0.2385320226,13
できる,0,0.2385320226,13
学生,1,0.231435013,7
項目,0,0.2299440446,6
企業名,1,0.2291423801,7
インターンシップ,1,0.2272741043,6
学生,1,0.2272365128,7
確認,0,0.2262706525,7
登録,0,0.2245902537,12
登録,0,0.2244139399,12
学籍番号,1,0.2243708952,5
学生id,1,0.2243708952,5
こと,0,0.2204689608,28
する,0,0.2199544081,28
企業名,1,0.217758778,7
教員,1,0.2176627809,13
教員,1,0.2156644767,13
一覧,0,0.2156644767,13
できる,0,0.2156644767,13
学生,1,0.215230324,7
教員,1,0.2131145738,13
できる,0,0.2131145738,13
こと,0,0.2130646552,28
一覧,0,0.2124719095,13
登録,0,0.2104489959,12
する,0,0.2103196396,28
こと,0,0.2103196396,28
教員,1,0.2092324421,13
し,0,0.2079907558,5
企業名,1,0.200231758,7
する,0,0.1981462276,28
こと,0,0.1981462276,28
の,0,0.1950640769,1
登録,0,0.1903091438,12
確認,0,0.18561389,7
する,0,0.1838866153,28
こと,0,0.1838866153,28
登録,0,0.1810036989,12
できる,0,0.1771606162,13
一覧,0,0.1754056342,13
学生順,0,0.174099248,2
企業順,0,0.174099248,2
教員,1,0.1732073626,13
一覧,0,0.1732073626,13
できる,0,0.1732073626,13
登録,0,0.1714402509,12
こと,0,0.1708806241,28
する,0,0.1701743475,28
一覧,0,0.1666916288,13
教員,1,0.1647561288,13
できる,0,0.1647561288,13
は,0,0.1592244652,3
一覧,0,0.1532749136,13
する,0,0.1504273001,28
こと,0,0.1491057607,28
する,0,0.1483179117,28
こと,0,0.1483179117,28
する,0,0.1470144192,28
こと,0,0.1470144192,28
する,0,0.1463392444,28
こと,0,0.1463392444,28
する,0,0.1434369112,28
教員,1,0.142085118,13
一覧,0,0.142085118,13
できる,0,0.142085118,13
し,0,0.1382596363,5
こと,0,0.1308875707,28
する,0,0.1297878161,28
こと,0,0.1297878161,28
する,0,0.1296859266,28
する,0,0.1277661342,28
こと,0,0.1277661342,28
する,0,0.1260329025,28
こと,0,0.1260329025,28
する,0,0.1258181392,28
する,0,0.1237104413,28
こと,0,0.1237104413,28
する,0,0.1216157653,28
こと,0,0.1216157653,28
する,0,0.1183742878,28
こと,0,0.1099772041,28
する,0,0.1065323276,28
する,0,0.105477001,28
こと,0,0.105477001,28
する,0,0.1041551101,28
こと,0,0.1041551101,28
する,0,0.1002369917,28
こと,0,0.1002369917,28
する,0,0.09216909297,28
こと,0,0.09216909297,28
する,0,0.08544031206,28
する,0,0.05679553608,28
こと,0,0.05679553608,28
