名詞,判定,TF-IDF値,出現回数,重み,連結回数
獲得可能,0,0.388708138,1,8,0
コース,1,0.3885820885,2,3.4,8
数字カード,1,0.3871220131,1,7.4,3
部分,0,0.3861106439,2,4,3
時間計測,0,0.3856064155,1,8,0
終了,0,0.3856064155,1,4,0
関連文書,0,0.3845123098,2,8,1
とき,0,0.3840602229,2,2.2,0
上記,0,0.3840602229,1,4,0
ターン,0,0.3839434304,3,3.4,1
実行委員会,0,0.3824742805,3,10,0
ゴール,1,0.382062845,1,3.4,3
コース,1,0.3816296927,2,3.4,8
記載,0,0.3816296927,6,4,0
扱い,0,0.3776291194,1,3.1,0
競技環境,0,0.3773013571,3,8,0
参照,0,0.3773013571,6,4,1
クラス,1,0.3768765895,1,3.6,7
スラローム,0,0.3768765895,1,5.8,0
応じ,0,0.3768765895,1,3.1,0
難所,0,0.3768765895,1,4,0
走行体,1,0.3764177551,2,6,5
同様,0,0.3763802359,1,4,0
ブロック,1,0.3759805819,3,4.8,13
コース画像,0,0.3754716302,1,7.4,0
サンプル,0,0.3754716302,1,4.8,0
規約説明,0,0.3754716302,1,8,0
限ら,0,0.3754716302,1,3.1,0
本書,0,0.3754716302,1,4,0
流れ,0,0.3752792728,2,3.1,0
本規約,0,0.372956146,4,6,0
いずれ,0,0.3725886585,3,3.3,0
黒ブロック,1,0.372482641,1,6.8,4
大会,0,0.3719239632,2,4,2
上限,0,0.3714297015,1,4,1
こと,0,0.3708012623,3,2.2,0
ボーナスタイム,1,0.3698376578,2,8.2,2
条件,0,0.369332057,1,4,0
描画処理,0,0.368749127,1,8,0
リザルトタイム確定,0,0.3682065192,1,12.4,0
行う,0,0.3682065192,2,3.1,0
判定,0,0.3682065192,2,4,2
走行,1,0.3676200619,1,4,13
結果,0,0.367020811,2,4,0
状態,0,0.365831004,1,4,0
参加チーム,0,0.3635455496,2,7.4,1
とき,0,0.3631658038,2,2.2,0
なる,0,0.3631408618,5,2.2,2
記載,0,0.3631408618,6,4,0
本章,0,0.3629658544,2,4,0
こと,0,0.3628540202,3,2.2,0
スタートライン手前,0,0.3620117989,1,12.2,0
領域,0,0.3620117989,1,4,0
決定,0,0.3600039478,1,4,0
示す,0,0.3594716979,6,3.1,0
もの,0,0.3591747223,1,2.2,0
用い,0,0.3591747223,2,3.1,4
用意,0,0.3591747223,2,4,0
なる,0,0.3582611081,5,2.2,2
記載,0,0.3582611081,6,4,0
添付,0,0.3566465284,4,4,0
etrobo環境,0,0.3565597735,1,11.2,0
御ソフトウェア,0,0.3565597735,1,9.2,0
参加チーム開発物,0,0.3565597735,1,13.4,0
走行体制,0,0.3565597735,1,8,0
成立,0,0.3562315649,4,4,4
カラーブロック,0,0.3542991168,3,8.2,0
配布,0,0.3535283968,3,4,0
行う,0,0.3527837527,2,3.1,0
スタートエリア,1,0.3510646877,3,8.2,0
本規約,0,0.3498181488,4,6,0
注意,0,0.3482103923,1,4,1
成立,0,0.3478792923,4,4,4
一定期日前,0,0.347371258,1,10,0
ある,0,0.3468259225,3,2.2,0
実施,0,0.3466450461,2,4,0
ため,0,0.3462209796,1,2.2,0
どちら,0,0.3462166912,1,3.3,0
一方,0,0.3462166912,1,4,1
同じ色,0,0.3462166912,1,5.1,0
lコース,1,0.3457454146,1,4.6,1
中間ゲート,1,0.3452706268,1,7.4,0
灰色点線内,0,0.3448338094,2,10,0
記載,0,0.3441922754,6,4,0
添付,0,0.3439670165,4,4,0
スタートエリア,1,0.3432763936,3,8.2,0
添付,0,0.3425538997,4,4,0
シングルビンゴ,1,0.3425070567,1,8.4,0
ダブルビンゴ,1,0.3425070567,1,7.2,0
トリプルビンゴ,1,0.3425070567,1,8.4,0
フルビンゴ,1,0.3425070567,1,6,0
競技,0,0.3423589278,4,4,5
参照,0,0.3423087496,6,4,1
ターン,0,0.342197952,3,3.4,1
リザルトタイム,1,0.3418636975,4,8.4,2
示す,0,0.3380531162,6,3.1,0
いずれ,0,0.3377754802,3,3.3,0
設置,0,0.3361196115,2,4,3
ターン,0,0.3353348717,3,3.4,1
指す,0,0.3338097198,1,3.1,0
白部分,0,0.3338097198,1,6,0
パーツ,1,0.3327308258,1,3.4,0
同じ,0,0.3322002582,1,3.1,1
競技環境,0,0.3318688048,3,8,0
ナンバー黒ブロック,1,0.3316589967,4,11.4,0
呼ぶ,0,0.3313185052,4,3.1,0
いずれ,0,0.331053789,3,3.3,0
示す,0,0.3281106428,6,3.1,0
する,0,0.3278258016,3,2.2,0
参照,0,0.327593474,6,4,1
一部,0,0.3273374733,1,4,1
判定,0,0.3273374733,2,4,2
なる,0,0.3267957766,5,2.2,2
ある,0,0.3267957766,3,2.2,0
小さい方,0,0.3261481899,1,6.2,0
順位,0,0.3261481899,1,4,0
重なる,0,0.3261258115,1,4.2,0
中心,0,0.3261258115,1,4,1
中心軸,0,0.3261258115,1,6,0
参加チーム,0,0.3253090302,2,7.4,1
配布,0,0.3245080697,3,4,0
よう設計,0,0.3220219687,1,6.2,0
右側,0,0.3220219687,1,4,0
挟ん,0,0.3220219687,1,3.1,0
左側,0,0.3220219687,1,4,0
中央,0,0.3220219687,1,4,0
数字,1,0.3219834242,4,4,5
計測,0,0.3219636775,1,4,5
呼ぶ,0,0.3214285805,4,3.1,0
走行体ソフトウェア,0,0.3209444757,2,13.2,0
示す,0,0.3206156703,6,3.1,0
当日,0,0.320309732,1,4,1
用いられる,0,0.320309732,2,6.4,0
交点サークル,1,0.3198678425,3,8.6,0
ナンバー黒ブロック,1,0.3198678425,4,11.4,0
lコースrコース,0,0.3195457422,1,9.2,0
定義,0,0.3195457422,1,4,0
示す,0,0.3192560648,6,3.1,0
灰色点線内,0,0.3192451102,2,10,0
参照,0,0.3190439091,6,4,1
ナンバー黒ブロック,1,0.3185537322,4,11.4,0
流れ,0,0.3185307327,2,3.1,0
含まれる,0,0.3184490379,2,5.3,0
公開,0,0.3184490379,2,4,0
試走会,0,0.3184490379,2,6,1
照明,0,0.3184490379,2,4,1
照明環境,0,0.3184490379,1,8,0
競技,0,0.3184106974,4,4,5
競技,0,0.3180434593,4,4,5
数字,1,0.3165725691,4,4,5
ビンゴ,1,0.3158244703,1,3.6,4
される,0,0.3151262042,1,3.3,0
リザルトタイム,1,0.3149423046,4,8.4,2
そのまま,0,0.3147382774,1,4.4,0
備考,0,0.3147382774,1,4,0
コース上,0,0.3129944322,3,5.4,0
現実世界,0,0.3129130895,1,8,0
言及,0,0.3129130895,1,4,0
表現,0,0.3129130895,1,4,0
論理時間,0,0.3129130895,1,8,0
用いられる,0,0.3127280117,2,6.4,0
数字,1,0.3122771614,4,4,5
関連ファイル,0,0.312245307,1,8.8,0
初期値情報,0,0.312245307,1,10,0
分け,0,0.312245307,1,3.1,0
タイミング,0,0.3117498767,1,6,0
取得可能,0,0.3117498767,1,8,0
走行体全体,0,0.3111471795,1,10,1
初期位置,1,0.310388712,1,8,0
スタート準備,0,0.310388712,1,8.6,1
ターン毎,0,0.310388712,1,5.4,0
あり,0,0.309596595,1,2.2,0
ゴールゲート,1,0.3085203201,2,6.8,1
異なる,0,0.30729951,1,4.2,0
なる,0,0.3072003164,5,2.2,2
記載,0,0.3072003164,6,4,0
いる,0,0.3068131991,4,2.2,2
競技,0,0.3068131991,4,4,5
すべて,0,0.3068098444,2,3.3,0
含め,0,0.3068098444,1,3.1,0
用意,0,0.3068098444,2,4,0
参照,0,0.3064182131,6,4,1
ナンバー黒ブロック,1,0.3053008878,4,11.4,0
添付,0,0.30491149,4,4,0
なる,0,0.3046934728,5,2.2,2
実行委員会,0,0.3046934728,3,10,0
する,0,0.3043397432,3,2.2,0
ガレージ方向,0,0.3036572452,1,8.6,0
隠す,0,0.3036572452,1,3.1,0
完全,0,0.3036572452,1,4,0
関連文書,0,0.3020318813,2,8,1
いる,1,0.3019320152,4,2.2,2
こと,0,0.3012909596,3,2.2,0
数字,1,0.301175071,4,4,5
大会,0,0.3011092737,2,4,2
円柱,0,0.3007193856,1,4,0
スポンサー看板,0,0.3007068875,1,9.8,0
大会開催地,0,0.3007068875,1,10,0
複数個所,0,0.3007068875,1,8,0
名産品,0,0.3007068875,1,6,0
