名詞,判定,TF-IDF値,出現回数,重み,連結回数
成立,0,0.2136352274,5,3,2
成立,0,0.2040736069,5,3,2
成立,0,0.2017718614,5,3,2
数字カード置き場,1,0.4681136632,2,8.5,0
数字カード置き場,1,0.2463978115,2,8.5,0
数字カード,1,0.3940117954,2,4.9,2
数字カード,1,0.3895413617,2,4.9,2
数字,1,0.3357637489,4,3,5
数字,1,0.3182193182,4,3,5
数字,1,0.3173040883,4,3,5
数字,1,0.2936785623,4,3,5
進入以降具体的,0,0.2061974228,1,10.5,0
進行,0,0.3485822108,2,3,0
進行,0,0.2627565154,2,3,0
振る舞い,0,0.2238922732,1,4.2,0
審査,0,0.2238922732,1,3,0
触れ,0,0.2325179428,1,2.1,0
状態,0,0.3041398931,1,3,0
条件,0,0.2581073546,3,3,0
条件,0,0.2371380934,3,3,0
条件,0,0.2239695911,3,3,0
場合,0,0.2430751909,3,3,0
場合,0,0.2389602715,3,3,0
場合,0,0.2046998524,3,3,0
上限,0,0.4094114101,1,3,0
上記,0,0.374164067,2,3,0
上記,0,0.2613151766,2,3,0
詳細,0,0.4818208809,1,3,0
照明環境,0,0.6565416369,2,6,0
照明環境,0,0.3013964046,2,6,0
照明,0,0.3862081516,2,3,2
照明,0,0.3013964046,2,3,2
小さい方,0,0.2870874817,1,4.2,0
除く,0,0.2540488503,1,2.1,0
初期値情報,1,0.3115329671,1,7.5,0
初期設置情報,1,0.3030429544,1,9,0
初期設置,1,0.5627054397,3,6,1
初期設置,1,0.2591372179,3,6,1
初期設置,1,0.2161981826,3,6,1
初期位置,1,0.2528287389,1,6,0
順位,0,0.2870874817,1,3,0
出来,0,0.2692139797,1,3,0
重なる,0,0.3232197611,1,2.7,0
取得方法,0,0.2061974228,1,6,0
取得可能,0,0.3030429544,1,6,0
取得,0,0.3030429544,1,3,2
実施,0,0.3617982466,2,3,0
実施,0,0.3577999209,2,3,0
実行委員会,0,0.2663971731,2,7.5,0
実行委員会,0,0.2587186266,2,7.5,0
自動判定,0,0.540748297,1,6,0
自コース,0,0.3031149737,2,3.4,0
自コース,0,0.2522020025,2,3.4,0
示す,0,0.4953812524,9,2.1,0
示す,0,0.3582275418,9,2.1,0
示す,0,0.3147923132,9,2.1,0
示す,0,0.310641676,9,2.1,0
示す,0,0.3027624936,9,2.1,0
示す,0,0.3007853748,9,2.1,0
示す,0,0.277174585,9,2.1,0
示す,0,0.2613810504,9,2.1,0
示す,0,0.2367376313,9,2.1,0
時点,0,0.2538136423,2,3,0
時点,0,0.2397191309,2,3,0
時間,1,0.2424537661,1,3,0
試走会,0,0.3862081516,2,4.5,0
試走会,0,0.3013964046,2,4.5,0
使用,0,0.3323645654,1,3,0
算出,0,0.540748297,1,3,0
参照,0,0.5374374953,6,3,0
参照,0,0.380878333,6,3,0
参照,0,0.3556537756,6,3,0
参照,0,0.3228302577,6,3,0
参照,0,0.278021902,6,3,0
参照,0,0.2295008964,6,3,0
参加チーム,0,0.278021902,3,4.9,0
参加チーム,0,0.2430751909,3,4.9,0
参加チーム,0,0.2101085699,3,4.9,0
作成,0,0.2238922732,1,3,0
最大値,1,0.7268896327,1,4.5,0
再現,0,0.3586683377,1,3,0
左上,0,0.3968757647,1,3,0
左下,0,0.2724300944,2,3,0
左下,0,0.2539447315,2,3,0
黒ブロック,1,0.2473801999,2,4.3,3
黒ブロック,1,0.2397191309,2,4.3,3
行為,0,0.4830808938,1,3,0
行われる,0,0.3770344885,1,3.3,0
行う,0,0.4047333607,2,2.1,0
行う,0,0.2851302202,2,2.1,0
構築方法,0,0.4719088635,1,6,0
構造,0,0.2238922732,1,3,0
構成要素,0,0.3388744141,1,6,0
構成,0,0.6804321679,3,3,1
構成,0,0.3121953471,3,3,1
構成,0,0.2354936175,3,3,1
向き,0,0.46280213,1,2.1,0
公開,0,0.4319140905,2,3,0
公開,0,0.3013964046,2,3,0
交点サークル,1,0.6144167263,5,5.6,0
交点サークル,1,0.58590389,5,5.6,0
交点サークル,1,0.316179518,5,5.6,0
交点サークル,1,0.2385831187,5,5.6,0
交点サークル,1,0.2191598408,5,5.6,0
呼ぶ,0,0.3603123041,3,2.1,0
呼ぶ,0,0.2783124395,3,2.1,0
呼ぶ,0,0.2185206213,3,2.1,0
結果,0,0.277359745,2,3,0
結果,0,0.2717430265,2,3,0
決定,0,0.2627565154,2,3,0
決定,0,0.2314012371,2,3,0
計測方法,0,0.5536940941,1,6,0
計測,0,0.3747133621,2,3,1
計測,0,0.2424537661,2,3,1
計算,0,0.4130904075,1,3,0
形状,0,0.4589890537,2,3,0
形状,0,0.3101544507,2,3,0
具体的,0,0.3109156478,1,4.5,1
禁止,0,0.4830808938,1,3,1
共用,0,0.3940545974,1,3,0
競技用,0,0.2238922732,1,4.5,0
競技内容,0,0.4579211166,2,6,0
競技内容,0,0.4312844963,2,6,0
競技環境,0,0.639181128,4,6,0
競技環境,0,0.5903336638,4,6,0
競技環境,0,0.3815266356,4,6,0
競技環境,0,0.3411527893,4,6,0
競技,0,0.4633300912,8,3,7
競技,0,0.4487107561,8,3,7
競技,0,0.3323561901,8,3,7
競技,0,0.3063643665,8,3,7
競技,0,0.230297255,8,3,7
競技,0,0.228816185,8,3,7
競技,0,0.2262874783,8,3,7
競技,0,0.2182431387,8,3,7
記載,0,0.3759069313,7,3,0
記載,0,0.3553473136,7,3,0
記載,0,0.3346772656,7,3,0
記載,0,0.2842513879,7,3,0
記載,0,0.2807558559,7,3,0
記載,0,0.2798710662,7,3,0
記載,0,0.275282477,7,3,0
規約,0,0.3978590496,1,3,5
規定,0,0.46280213,1,3,0
機能,0,0.3282708184,2,3,0
機能,0,0.2049171673,2,3,0
含め,0,0.2520535268,2,2.1,0
含め,0,0.2473801999,2,2.1,0
含まれる,0,0.3293053824,1,3.3,0
関連文書,0,0.3822462337,2,6,0
関連文書,0,0.2845652193,2,6,0
関連ファイル,0,0.3115329671,1,5.8,0
関連,0,0.3822462337,2,3,3
関連,0,0.2049171673,2,3,3
環境,0,0.5292717696,1,3,7
獲得,0,0.2969061339,1,3,1
各番号,0,0.5102422115,1,4.5,0
各コース,0,0.2870874817,1,3.4,0
各クラス,0,0.3836464339,1,3.6,0
該当ゲート,0,0.3544718813,1,4.9,0
概要,0,0.3650907465,1,3,0
外観,0,0.4164736467,1,3,0
灰色点線内,0,0.3466102556,2,7.5,0
灰色点線内,0,0.3229305664,2,7.5,0
改版履歴,0,0.7750852904,1,6,0
下記,0,0.4319140905,2,3,0
下記,0,0.3641400763,2,3,0
応じ,0,0.3766493339,1,2.1,0
円柱,0,0.2958265461,2,3,0
円柱,0,0.2836574789,2,3,0
右上,0,0.3968757647,1,3,0
右下,0,0.2724300944,2,3,0
右下,0,0.2539447315,2,3,0
一覧,0,0.3807604559,1,3,0
一方,0,0.3528335841,1,3,1
一部,0,0.2699368453,1,3,0
一致,0,0.4641370335,1,3,0
移動先,0,0.2969061339,1,4.5,0
移動,0,0.2969061339,1,3,1
異なる,0,0.323837972,2,2.7,0
異なる,0,0.2815946697,2,2.7,0
位置,0,0.2692139797,1,3,2
以下,0,0.3312075132,5,3,0
以下,0,0.3055573136,5,3,0
以下,0,0.2936785623,5,3,0
以下,0,0.207770799,5,3,0
以下,0,0.2069450763,5,3,0
リザルトタイム確定,0,0.3781423908,3,7.9,0
リザルトタイム確定,0,0.2371380934,3,7.9,0
リザルトタイム確定,0,0.2239695911,3,7.9,0
リザルトタイム,1,0.5867819005,5,4.9,4
リザルトタイム,1,0.5171157432,5,4.9,4
リザルトタイム,1,0.384057954,5,4.9,4
リザルトタイム,1,0.3165293369,5,4.9,4
リザルトタイム,1,0.2038993584,5,4.9,4
リクエスト,0,0.2692139797,1,3.5,0
よう,0,0.2958265461,2,1.2,0
よう,0,0.2314012371,2,1.2,0
もの,0,0.26490472,1,1.2,1
モデル,0,0.4477845464,1,2.1,0
ボーナスタイム獲得,0,0.4422112278,1,7.7,0
ボーナスタイム,1,0.656125266,3,4.7,1
ボーナスタイム,1,0.6511895676,3,4.7,1
ボーナスタイム,1,0.2538895177,3,4.7,1
ボーナスサークル,1,0.2619168606,1,5.2,0
ブロックサークル内,0,0.2773165083,1,6.9,0
ブロックサークル,1,0.5139007926,4,5.4,1
ブロックサークル,1,0.4954331665,4,5.4,1
ブロックサークル,1,0.2795400103,4,5.4,1
ブロックサークル,1,0.2604424203,4,5.4,1
ブロック,1,0.4383196816,6,2.8,14
ブロック,1,0.3990226055,6,2.8,14
ブロック,1,0.3732486455,6,2.8,14
ブロック,1,0.3701731346,6,2.8,14
ブロック,1,0.3614891719,6,2.8,14
ブロック,1,0.2385831187,6,2.8,14
フルビンゴ,1,0.3442436118,1,3.5,0
ビンゴ,1,0.4691132472,2,2.1,4
ビンゴ,1,0.3150686032,2,2.1,4
パーツ,0,0.2753934081,1,1.9,0
ナンバー黒ブロック,1,0.3299811036,3,6.9,0
ナンバー黒ブロック,1,0.3176949946,3,6.9,0
ナンバー黒ブロック,1,0.2082201918,3,6.9,0
なる,0,0.4044996605,4,1.2,3
なる,0,0.323569605,4,1.2,3
なる,0,0.3133600965,4,1.2,3
なる,0,0.2450027278,4,1.2,3
なら,0,0.2762574617,2,1.2,0
なら,0,0.2049171673,2,1.2,0
ないもの,0,0.2238922732,1,2.4,0
トリプルビンゴ,0,0.3442436118,1,4.9,0
どちら,0,0.3528335841,1,1.8,0
とき,0,0.3957500238,3,1.2,0
とき,0,0.2763907507,3,1.2,0
とき,0,0.2191462604,3,1.2,0
ため,0,0.2238922732,1,1.2,0
ダブルビンゴ,1,0.3442436118,1,4.2,0
タイム,1,0.4130904075,1,2.1,16
タイミング,0,0.3030429544,1,3.5,0
ターン毎,0,0.2528287389,1,3.4,0
ターン,0,0.6971644217,2,1.9,1
ターン,0,0.4078980249,2,1.9,1
それらすべて,0,0.2702873362,1,3.6,0
それぞれ個別,0,0.3836464339,1,5.4,0
それぞれ,0,0.3115329671,1,2.4,2
ソフトウェア,0,0.454912984,1,4.2,2
その他禁止事項,0,0.4830808938,1,8.7,0
そのソフトウェア,0,0.2238922732,1,5.4,0
ソースコード,0,0.2238922732,1,3.8,0
する,0,0.3223147766,10,1.2,0
する,0,0.3166130786,10,1.2,0
する,0,0.3088674726,10,1.2,0
する,0,0.29201888,10,1.2,0
する,0,0.2287043433,10,1.2,0
する,0,0.2212717611,10,1.2,0
する,0,0.2163067439,10,1.2,0
する,0,0.2126283585,10,1.2,0
する,0,0.2049834699,10,1.2,0
する,0,0.2009989965,10,1.2,0
スラローム,0,0.3766493339,1,3.3,0
スポンサー看板,0,0.302553441,1,6.3,0
すべて,0,0.2753934081,1,1.8,1
スタート成立後,0,0.6185922683,1,7.1,0
スタート準備,0,0.2528287389,1,5.6,0
スタート後,0,0.2708934987,1,4.1,0
スタート位置,0,0.3222684153,1,5.6,0
スタートライン,1,0.5899116557,2,4.7,0
スタートライン,1,0.5482274559,2,4.7,0
スタートエリア,1,0.5511544773,3,4.7,0
スタートエリア,1,0.5162147093,3,4.7,0
スタートエリア,1,0.3430309965,3,4.7,0
シングルビンゴ,1,0.3442436118,1,4.9,0
される,0,0.3291818841,7,1.8,0
される,0,0.2981221556,7,1.8,0
される,0,0.2568756654,7,1.8,0
される,0,0.2514698232,7,1.8,0
される,0,0.2379807169,7,1.8,0
される,0,0.2335457303,7,1.8,0
される,0,0.222249909,7,1.8,0
され,0,0.3416151758,4,1.2,7
され,0,0.316179518,4,1.2,7
され,0,0.2430751909,4,1.2,7
され,0,0.2032803252,4,1.2,7
この様子,0,0.6945347874,2,4.2,0
この様子,0,0.6103221745,2,4.2,0
こと,0,0.4554091944,7,1.2,0
こと,0,0.418188564,7,1.2,0
こと,0,0.3227454286,7,1.2,0
こと,0,0.3013708587,7,1.2,0
こと,0,0.2735571463,7,1.2,0
こと,0,0.2355878246,7,1.2,0
こと,0,0.2217162009,7,1.2,0
ゴールゲート,1,0.4768915794,3,3.8,0
ゴールゲート,1,0.2959499897,3,3.8,0
ゴールゲート,1,0.2190106886,3,3.8,0
ゴール,0,0.26490472,1,1.9,3
コース全景,0,0.332302915,1,4.9,0
コース上,0,0.4380213772,4,3.4,0
コース上,0,0.4125181986,4,3.4,0
コース上,0,0.2686586817,4,3.4,0
コース上,0,0.2446069683,4,3.4,0
コース,1,0.6739256637,3,1.9,15
コース,1,0.6448172907,3,1.9,15
コース,1,0.2587186266,3,1.9,15
ゲーム,0,0.2969061339,1,1.9,0
ゲートライン,1,0.5918999794,4,4,0
ゲートライン,1,0.4380213772,4,4,0
ゲートライン,1,0.2865817422,4,4,0
ゲートライン,1,0.2384457897,4,4,0
クラス別,0,0.4712209695,1,3.6,0
クラス共通,0,0.4579211166,2,5.1,1
クラス共通,0,0.3663027915,2,5.1,1
クラス,0,0.3766493339,1,2.1,9
ガレージ,1,0.440986054,1,2.6,0
カラーブロック,1,0.5379399147,3,4.7,1
カラーブロック,1,0.5011889825,3,4.7,1
カラーブロック,1,0.3575247713,3,4.7,1
カラーサークル,0,0.2562763108,1,4.5,0
オレンジ範囲,0,0.2061974228,1,5.8,0
エリア,0,0.302553441,1,2.1,3
いる,0,0.3178065676,5,1.2,3
いる,0,0.2243410138,5,1.2,3
いる,0,0.2099079625,5,1.2,3
いる,0,0.2059749791,5,1.2,3
いる,0,0.2015734745,5,1.2,3
いずれ,0,0.3940117954,5,1.8,0
いずれ,0,0.3299811036,5,1.8,0
いずれ,0,0.2917422409,5,1.8,0
いずれ,0,0.2211624537,5,1.8,0
いずれ,0,0.2017718614,5,1.8,0
ある,0,0.3571326674,3,1.2,0
ある,0,0.2815946697,3,1.2,0
ある,0,0.2538895177,3,1.2,0
あり,0,0.3099238516,1,1.2,0
アドバンストクラス,1,0.3314382021,3,6.3,0
アドバンストクラス,1,0.3255947838,3,6.3,0
アドバンストクラス,1,0.3224086453,3,6.3,0
rコース,0,0.2399944262,4,2.6,0
rコース,0,0.2211624537,4,2.6,0
rコース,0,0.2137455653,4,2.6,0
rコース,0,0.206022024,4,2.6,0
lコース,0,0.2518666929,3,2.6,0
lコース,0,0.2243193291,3,2.6,0
lコース,0,0.2162137124,3,2.6,0
https,0,0.3109156478,1,3.5,0
goal,0,0.2708934987,1,2.8,0
github,0,0.3109156478,1,4.2,0
etrobocon,0,0.3109156478,1,6.3,0
etrobo,0,0.3109156478,1,4.2,1
com,0,0.3109156478,1,2.1,0
