単語,判定結果,TF-IDF値,出現回数,優先値,連結回数
情報,0,0.3083175671,3,4.5,7
連絡先メールアドレス,1,0.3083175671,3,14.7,0
連絡先電話番号,1,0.3083175671,3,14.5,1
開催年度,1,0.3072633182,2,8.5,0
学籍番号,1,0.3068069159,2,8.5,0
できる,0,0.3057988765,1,3.8,0
教員,1,0.3057988765,1,4.5,0
エントリ,0,0.3036956037,2,5.3,2
開催,0,0.3036956037,2,4.5,2
予定,0,0.3036956037,2,4.5,2
こと,0,0.3008546001,2,2.7,0
