単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
情報,0,0.4102573817,3,4.5,7,0
提供,0,0.4073316802,3,4.5,0,0
もの,0,0.4065560917,1,2.7,0,0
削除,0,0.4065560917,1,4.5,0,0
実装,0,0.4065560917,1,4.5,0,0
修正,0,0.4065560917,1,4.5,0,0
ユーザid,1,0.4012186381,2,6.3,0,0
ユーザ認証,0,0.4012186381,2,7.9,0,0
指定,0,0.4012186381,2,4.5,0,0
担当者id,1,0.3978474851,2,8.9,1,0.3333
いる,0,0.3975351563,2,2.7,0,0
学生情報,1,0.3975351563,2,8.5,0,0
担当者id,1,0.3916502851,2,8.9,1,0.3333
一覧項目,0,0.3901281539,1,8.5,0,0
ユーザid,1,0.3856789623,2,6.3,0,0.5
後,0,0.3822848423,4,2.5,0,0
登録,0,0.3815086909,2,4.5,2,0
ユーザ認証,0,0.3792180915,2,7.9,0,0
職階,1,0.3777163362,1,4.5,0,0
担当者名,1,0.3777163362,1,8.5,1,0
部署名,1,0.3777163362,1,6.5,0,0
固有,0,0.3727971378,2,4.5,0,0
識別番号,1,0.3727971378,2,8.5,0,0
学生,1,0.3712277801,3,4.5,6,0
確認,0,0.3696934369,3,4.5,0,0
学生,1,0.3696934369,3,4.5,6,0
され,0,0.3669391098,3,2.7,0,0
企業,1,0.3661911699,4,4.5,10,0
も,0,0.3658849195,1,1.6,1,0
よる,0,0.3658849195,1,2.7,0,0
同一,0,0.3658849195,1,4.5,0,0
複数,0,0.3658849195,1,4.5,0,0
発行,0,0.3638559831,3,4.5,0,0
され,0,0.3635703392,3,2.7,0,0
学生情報,1,0.3628608146,2,8.5,0,0
メールアドレス,1,0.3622604038,1,8.7,3,0
企業担当者id,1,0.3622604038,1,12.9,0,0.25
企業担当者名,1,0.3622604038,1,12.5,0,0
企業担当者連絡先電話番号,1,0.3622604038,1,24.5,0,0
同,0,0.3622604038,1,2.5,1,0
学生id,1,0.3610562018,1,6.9,0,0.5
学籍番号,1,0.3610562018,2,8.5,0,0
提供,0,0.3592716755,3,4.5,0,0
すべて,0,0.3592473415,1,3.8,0,0
なる,0,0.3592473415,1,2.7,0,0
参加決定者,1,0.3592473415,1,10.5,0,0
関する,0,0.3577203742,1,4.7,0,0
参加学生,1,0.3577203742,1,8.5,0,0
当該年度,1,0.3577203742,1,8.5,0,0
評定情報,1,0.3577203742,1,8.5,0,0
企業,1,0.3536989739,4,4.5,10,0
は,0,0.353329203,1,1.6,0,0
氏名,1,0.353329203,3,4.5,1,0
連絡先メールアドレス,1,0.353329203,3,14.7,0,0
連絡先電話番号,1,0.353329203,3,14.5,1,0
今回,0,0.3527271209,2,4.5,0,0
一覧,0,0.3497563396,1,4.5,2,0
開催年度,1,0.3481984961,2,8.5,0,0
実施開始日,1,0.3442636095,1,10.5,0,0
実施終了日,1,0.3442636095,1,10.5,0,0
実施日数,1,0.3442636095,1,8.5,1,0
発行,0,0.3409459005,3,4.5,0,0
パスワード,1,0.3403498419,4,6.3,0,0
こと,0,0.340348695,2,2.7,0,0
希望,0,0.3402662749,1,4.5,0,0
向け,0,0.3402662749,1,3.6,0,0
参加,0,0.3402662749,1,4.5,2,0
本学,0,0.3402662749,1,4.5,0,0
項目,0,0.3402418602,3,4.5,1,0
パスワード,1,0.3374901258,4,6.3,0,0
後,0,0.3374901258,4,2.5,0,0
インターンシップ,1,0.3333087653,2,9.9,4,0
インターンシップid,1,0.3322331017,1,12.3,0,0.5
インターンシップ名,1,0.3322331017,1,11.9,0,0
今回,0,0.3318585221,2,4.5,0,0
パスワード,1,0.3271676871,4,6.3,0,0
確認,0,0.3267941755,3,4.5,0,0
エントリ登録,0,0.3265608427,1,9.3,0,0
年度,1,0.3233258778,2,4.5,4,0
後,0,0.3216869937,4,2.5,0,0
エントリ,0,0.3206366493,2,5.3,2,0
た,0,0.3206366493,2,1.6,1,0
指定,0,0.3192737952,2,4.5,0,0
年度,1,0.3192737952,2,4.5,4,0
学生氏名,1,0.3184489305,1,8.5,0,0
登録,0,0.3182050737,2,4.5,2,0
学生,1,0.3179131227,3,4.5,6,0
5段階評価,0,0.3165544387,1,9.5,0,0
および,0,0.3165544387,1,3.8,0,0
次,0,0.3165544387,1,2.5,0,0
対する,0,0.3165544387,1,4.7,0,0
パスワード,1,0.3162401615,4,6.3,0,0
後,0,0.3162401615,4,2.5,0,0
企業,1,0.3119669526,4,4.5,10,0
確認,0,0.3116079801,3,4.5,0,0
企業id,1,0.3083175671,3,6.9,0,0
氏名,1,0.3083175671,3,4.5,1,0
情報,0,0.3083175671,3,4.5,7,0
連絡先メールアドレス,1,0.3083175671,3,14.7,0,0
連絡先電話番号,1,0.3083175671,3,14.5,1,0
開催年度,1,0.3072633182,2,8.5,0,0
学籍番号,1,0.3068069159,2,8.5,0,0
できる,0,0.3057988765,1,3.8,0,0
教員,1,0.3057988765,1,4.5,0,0
エントリ,0,0.3036956037,2,5.3,2,0
開催,0,0.3036956037,2,4.5,2,0
予定,0,0.3036956037,2,4.5,2,0
こと,0,0.3008546001,2,2.7,0,0
