単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
実施日,1,0.5370958812974478,1,1.5,11,0
実施場所,0,0.3524996071261541,3,2.0,0,0
実施内容,0,0.3524996071261541,3,2.0,0,0
学籍番号,1,0.3520429105977464,5,2.0,0,0
学生順,1,0.37011799745678725,2,1.5,0,0
学生登録,1,0.4477886730103872,1,2.0,0,0
学生氏名,1,0.36718124060479146,6,2.0,0,0
学生毎,0,0.39032134243370253,2,1.5,0,0
学生情報,0,0.4462812603599587,3,2.0,0,0
学生id,1,0.29210788261214315,10,1.8,0,0.5
学生,2,0.2829273468318628,14,1.0,32,0
固有,0,0.4536764851109284,2,1.0,0,0
固定値,0,0.4707075110538352,1,1.5,0,0
周囲,0,0.239971506113508,1,1.0,0,0
各実施日,0,0.4148885408733919,1,2.0,0,0
反省的態度,1,0.24497527653730233,2,2.5,0,0
反省点,0,0.27979046702770527,2,1.5,0,0
参加決定者,0,0.6113734190592989,3,2.5,0,0
参加決定学生,1,0.6133592250693843,1,3.0,1,0
参加学生決定,0,0.35302752421789185,1,3.0,0,0
参加エントリ,0,0.5097866043335099,3,3.0,0,0
参加インターンシップ情報閲覧,1,0.4295095474843318,1,6.7,0,0
勤務態度,1,0.24497527653730233,2,2.0,0,0
勤務内容理解,1,0.2980163173808827,1,3.0,0,0
勤務内容,0,0.239971506113508,1,2.0,1,0
内容,0,0.4448848019662363,3,1.0,5,0
企業順,1,0.37011799745678725,2,1.5,0,0
企業担当者連絡先電話番号,1,0.41549273196051595,1,6.0,0,0
企業担当者登録,1,0.4261323872645159,1,3.5,0,0
企業担当者名,1,0.41549273196051595,1,3.0,0,0
企業担当者id,1,0.41549273196051595,1,3.3,0,0.25
企業担当者,1,0.2908369888332297,12,2.5,4,0
企業名,1,0.3546264996066957,8,1.5,0,0
企業id,1,0.4761275488510668,3,1.8,0,0.5
企業,2,0.44301415761094365,5,1.0,32,0
事項,0,0.2233379493218431,2,1.0,1,0
事前準備状況,1,0.24497527653730233,2,3.0,0,0
予定実施日数,1,0.4525869507552199,3,3.0,0,0
予定実施日,1,0.4525869507552199,3,2.5,3,0
一覧項目,1,0.44054071962265823,1,2.0,0,0
ログインid,1,0.36776764824983577,2,2.8,0,0.5
ログイン,0,0.2528342256586627,3,2.0,2,0
ユーザ認証,1,0.2528342256586627,3,2.2,3,0
ユーザid,1,0.32623432758185866,2,2.0,0,0.5
メールアドレス,1,0.41549273196051595,1,3.2,4,0
パスワード変更,1,0.5643454686533994,2,3.2,0,0
パスワード,1,0.338746144589827,10,2.2,2,0
ソート,1,0.5925421766307294,1,1.2,0,0
セキュリティ確保,0,0.4235509257414269,2,4.0,0,0
システム要求仕様,0,0.24573252455194297,1,4.0,0,0
システム,0,0.4477886730103872,1,2.0,1,0
コミュニケーション,0,0.24497527653730233,2,4.2,0,0
エントリ登録,1,0.4102444820132479,4,3.0,0,0
エントリ,1,0.3344247284525142,1,2.0,9,0
インターンシップ詳細登録,1,0.35302752421789185,1,5.7,0,0
インターンシップ評定情報,1,0.2980163173808827,1,5.7,0,0
インターンシップ登録,1,0.5107370118650769,1,4.7,0,0
インターンシップ情報,1,0.42573201920647635,4,4.7,1,0
インターンシップ名,1,0.30681699455961126,9,4.2,0,0
インターンシップ参加決定学生閲覧,1,0.36727986207244834,1,7.7,0,0
インターンシップ参加学生,1,0.38373698863781563,1,5.7,1,0
インターンシップエントリ情報,1,0.692296415478821,1,6.7,0,0
インターンシップエントリ学生閲覧,1,0.4154141395862509,1,7.7,0,0
インターンシップid,1,0.28497052042707477,9,4.5,0,0.5
インターンシップ,2,0.29747068101461077,12,3.7,34,0
アドバイス参照,1,0.3633214039519043,1,3.5,0,0
アドバイス入力,1,0.3864125408053144,1,3.5,0,0
password,1,0.4707075110538352,1,3.2,0,1.0
is,0,0.3344247284525142,1,0.8,0,1.0
11111111,1,0.4707075110538352,1,0.0,0,0
