単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Labels,Scored Probabilities
通過ガレージ,0,0.589651993861208,1,8.8,0,0,1,0.509375214576721
通過する,0,0.503798484033408,1,6.2,0,0,0,0.408841997385025
転倒せず,0,0.277121832913277,1,6.2,0,0,0,0.408841997385025
走行順,0,0.410834946284818,1,6,0,0,0,0.401311099529266
走行体ソフトウェア,0,0.420279020465525,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.344293819724567,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.268753233643574,4,13.2,0,0,1,0.703940391540527
走行体ソフトウェア,0,0.216336871358188,4,13.2,0,0,1,0.703940391540527
走行体,0,0.545273103129282,30,6,4,0,1,0.773542940616608
走行体,0,0.470416032622258,30,6,4,0,1,0.773542940616608
走行体,0,0.467729824321481,30,6,4,0,1,0.773542940616608
走行体,0,0.417863104964515,30,6,4,0,1,0.773542940616608
走行体,0,0.385338405578539,30,6,4,0,1,0.773542940616608
走行体,0,0.349277293166295,30,6,4,0,1,0.773542940616608
走行体,0,0.336706142091379,30,6,4,0,1,0.773542940616608
走行体,0,0.312786691072757,30,6,4,0,1,0.773542940616608
走行体,0,0.31253943883582,30,6,4,0,1,0.773542940616608
走行体,0,0.306830616559617,30,6,4,0,1,0.773542940616608
走行体,0,0.283163161336636,30,6,4,0,1,0.773542940616608
走行体,0,0.2730161376001,30,6,4,0,1,0.773542940616608
走行体,0,0.256102943519071,30,6,4,0,1,0.773542940616608
走行体,0,0.246704488012735,30,6,4,0,1,0.773542940616608
走行体,0,0.229944505108404,30,6,4,0,1,0.773542940616608
走行体,0,0.227977106219402,30,6,4,0,1,0.773542940616608
走行体,0,0.226708678429294,30,6,4,0,1,0.773542940616608
走行体,0,0.225944845256573,30,6,4,0,1,0.773542940616608
走行体,0,0.223544498428238,30,6,4,0,1,0.773542940616608
走行体,0,0.209979108200424,30,6,4,0,1,0.773542940616608
走行体,0,0.207621577074334,30,6,4,0,1,0.773542940616608
走行体,0,0.198244987411366,30,6,4,0,1,0.773542940616608
走行体,0,0.191016908034051,30,6,4,0,1,0.773542940616608
走行体,0,0.180204165966272,30,6,4,0,1,0.773542940616608
走行体,0,0.174248001477908,30,6,4,0,1,0.773542940616608
走行体,0,0.172654918916131,30,6,4,0,1,0.773542940616608
走行体,0,0.142547525559876,30,6,4,0,1,0.773542940616608
走行体,0,0.142355439398848,30,6,4,0,1,0.773542940616608
走行体,0,0.139775801617516,30,6,4,0,1,0.773542940616608
走行体,0,0.0862553266506071,30,6,4,0,1,0.773542940616608
走行タイム,0,0.75105192933736,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.445266907963355,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.441551709671245,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.379650864341358,5,7.6,0,0,1,0.50953608751297
走行タイム,0,0.334728152005024,5,7.6,0,0,1,0.50953608751297
赤,0,0.373832949498385,3,2,2,0,0,0.310289055109024
赤,0,0.275463211650007,3,2,2,0,0,0.310289055109024
赤,0,0.259453663578717,3,2,2,0,0,0.310289055109024
論理,0,0.395582960796304,1,4,0,0,0,0.32904389500618
読者,0,0.491316725499451,1,4,0,0,0,0.32904389500618
詳細,0,0.569451152348508,5,4,0,0,0,0.371832281351089
詳細,0,0.416167268751246,5,4,0,0,0,0.371832281351089
詳細,0,0.369946362989315,5,4,0,0,0,0.371832281351089
詳細,0,0.367994617063488,5,4,0,0,0,0.371832281351089
詳細,0,0.357039658636001,5,4,0,0,0,0.371832281351089
該当コース,0,0.426591489448111,2,7.6,0,0,0,0.474282145500183
該当コース,0,0.317844664242437,2,7.6,0,0,0,0.474282145500183
該当ゲート,0,0.413064976670928,1,7.6,0,0,0,0.462570309638977
試走会,0,0.380152243785354,3,6,0,0,0,0.424108237028122
試走会,0,0.347203417209469,3,6,0,0,0,0.424108237028122
試走会,0,0.319026772262745,3,6,0,0,0,0.424108237028122
設置方法,0,0.25888938051225,1,8,0,0,0,0.478139489889145
設置プライマリークラス難所,0,0.416799960909988,1,18.8,0,0,1,0.832024276256561
設置パターン,0,0.329756124458667,1,8.8,0,0,1,0.509375214576721
記載され,0,0.376500141221857,1,6.2,0,0,0,0.408841997385025
計測終了操作,0,0.177246275233756,1,12,0,0,1,0.631234586238861
計測方法,0,0.554553081196456,1,8,0,0,0,0.478139489889145
計測中,0,0.457759812028255,1,6,0,0,0,0.401311099529266
触れ,0,0.530848891640466,5,3.1,0,0,0,0.339618980884552
触れ,0,0.302302988503699,5,3.1,0,0,0,0.339618980884552
触れ,0,0.247674014454364,5,3.1,0,0,0,0.339618980884552
触れ,0,0.216979868462793,5,3.1,0,0,0,0.339618980884552
触れ,0,0.137861684283429,5,3.1,0,0,0,0.339618980884552
規約,0,0.463502704695378,7,4,0,0,0,0.394057035446167
規約,0,0.445146839730867,7,4,0,0,0,0.394057035446167
規約,0,0.384566201301306,7,4,0,0,0,0.394057035446167
規約,0,0.369138264820466,7,4,0,0,0,0.394057035446167
規約,0,0.358979595283485,7,4,0,0,0,0.394057035446167
規約,0,0.312550147724528,7,4,0,0,0,0.394057035446167
規約,0,0.297211147437425,7,4,0,0,0,0.394057035446167
規定時間継続,0,0.331179410942113,1,12,0,0,1,0.631234586238861
複数個所,0,0.362943602131451,1,8,0,0,0,0.478139489889145
装飾物,0,0.278515290482949,1,6,0,0,0,0.401311099529266
装飾品,0,0.401821602646114,3,6,0,0,0,0.424108237028122
装飾品,0,0.317816000810095,3,6,0,0,0,0.424108237028122
装飾品,0,0.247565360140721,3,6,0,0,0,0.424108237028122
色,0,0.551446737133717,5,2,5,0,0,0.376031368970871
色,0,0.311586791328659,5,2,5,0,0,0.376031368970871
色,0,0.306390583668784,5,2,5,0,0,0.376031368970871
色,0,0.252583100785012,5,2,5,0,0,0.376031368970871
色,0,0.16618830477259,5,2,5,0,0,0.376031368970871
自由,0,0.485310107557583,1,4,0,0,0,0.32904389500618
自動,0,0.543423346139987,1,4,0,0,0,0.32904389500618
縦,0,0.323394924169765,1,2,0,0,0,0.26405069231987
緑色,0,0.495130720281443,3,4,0,0,0,0.350136667490005
緑色,0,0.401821602646114,3,4,0,0,0,0.350136667490005
緑色,0,0.317816000810095,3,4,0,0,0,0.350136667490005
緑,0,0.373832949498385,3,2,3,0,0,0.324607044458389
緑,0,0.275463211650007,3,2,3,0,0,0.324607044458389
緑,0,0.259453663578717,3,2,3,0,0,0.324607044458389
経過待ち,0,0.177246275233756,1,7.1,0,0,0,0.443214505910873
節,0,0.177435474396914,1,2,1,0,0,0.27709224820137
箇所,0,0.493590213102368,2,4,0,0,0,0.339510679244995
箇所,0,0.413971825960921,2,4,0,0,0,0.339510679244995
競技終了,0,0.177246275233756,1,8,0,0,0,0.478139489889145
競技用,0,0.246898414470542,1,6,0,0,0,0.401311099529266
競技環境,0,0.414477716388327,8,8,0,0,1,0.560147762298584
競技環境,0,0.410397101459212,8,8,0,0,1,0.560147762298584
競技環境,0,0.376001122491941,8,8,0,0,1,0.560147762298584
競技環境,0,0.348884789248176,8,8,0,0,1,0.560147762298584
競技環境,0,0.324588333785642,8,8,0,0,1,0.560147762298584
競技環境,0,0.317000976280082,8,8,0,0,1,0.560147762298584
競技環境,0,0.289525641430457,8,8,0,0,1,0.560147762298584
競技環境,0,0.281304030809616,8,8,0,0,1,0.560147762298584
競技内容,0,0.488272595057149,2,8,0,0,0,0.489886194467545
競技内容,0,0.440627018815559,2,8,0,0,0,0.489886194467545
章,0,0.177435474396914,1,2,11,0,0,0.426035970449448
移動先,0,0.340863255655421,1,6,0,0,0,0.401311099529266
秒単位,0,0.472832255966178,1,6,0,0,0,0.401311099529266
秒,0,0.672660269052482,1,2,5,0,0,0.333015918731689
直線,0,0.27082541557861,2,4,0,0,0,0.339510679244995
直線,0,0.257809281645102,2,4,0,0,0,0.339510679244995
白部分,0,0.416005350590609,2,6,0,0,0,0.412662833929062
白部分,0,0.320342897892818,2,6,0,0,0,0.412662833929062
番号,0,0.457392802970022,4,4,9,0,1,0.505849301815033
番号,0,0.457392802970022,4,4,9,0,1,0.505849301815033
番号,0,0.457392802970022,4,4,9,0,1,0.505849301815033
番号,0,0.172957527827456,4,4,9,0,1,0.505849301815033
用語,0,0.511851045442321,1,4,0,0,0,0.32904389500618
環境,0,0.521279617306444,1,4,12,0,1,0.520127475261688
現実世界,0,0.395582960796304,1,8,0,0,0,0.478139489889145
状況,0,0.331179410942113,1,4,0,0,0,0.32904389500618
状態,0,0.346155697112472,3,4,0,0,0,0.350136667490005
状態,0,0.29000129859885,3,4,0,0,0,0.350136667490005
状態,0,0.155207867069318,3,4,0,0,0,0.350136667490005
照明環境,0,0.437488582599505,2,8,0,0,0,0.489886194467545
照明環境,0,0.337827772682081,2,8,0,0,0,0.489886194467545
灰色点線内,0,0.359837627799186,2,10,0,0,1,0.567595243453979
灰色点線内,0,0.353836760336517,2,10,0,0,1,0.567595243453979
添付数字,0,0.206977511290914,1,8,0,0,0,0.478139489889145
流れ,0,0.581710516076708,1,3.1,0,0,0,0.298774361610413
正式,0,0.562036641499906,1,4,0,0,0,0.32904389500618
次,0,0.310350427747918,3,2,0,0,0,0.282732844352722
次,0,0.302695199153178,3,2,0,0,0,0.282732844352722
次,0,0.277440141950014,3,2,0,0,0,0.282732844352722
横倒し,0,0.273514853932514,3,5.1,0,0,0,0.390179097652435
横倒し,0,0.270984080993771,3,5.1,0,0,0,0.390179097652435
横倒し,0,0.265847377412904,3,5.1,0,0,0,0.390179097652435
横,0,0.323394924169765,1,2,3,0,0,0.304331958293915
様子,0,0.662967413386724,2,4,0,0,0,0.339510679244995
様子,0,0.60384699805244,2,4,0,0,0,0.339510679244995
構造,0,0.246898414470542,1,4,0,0,0,0.32904389500618
構築方法,0,0.477795858017129,1,8,0,0,0,0.478139489889145
構成要素,0,0.548321360246561,2,8,0,0,0,0.489886194467545
構成要素,0,0.428145178694975,2,8,0,0,0,0.489886194467545
概要,0,0.656625466889512,3,4,0,0,0,0.350136667490005
概要,0,0.513859225944958,3,4,0,0,0,0.350136667490005
概要,0,0.416458637944825,3,4,0,0,0,0.350136667490005
条件,0,0.427144674253302,10,4,0,0,0,0.428204894065857
条件,0,0.372314818056975,10,4,0,0,0,0.428204894065857
条件,0,0.359811522521378,10,4,0,0,0,0.428204894065857
条件,0,0.319849671306073,10,4,0,0,0,0.428204894065857
条件,0,0.318162223191149,10,4,0,0,0,0.428204894065857
条件,0,0.308690742450293,10,4,0,0,0,0.428204894065857
条件,0,0.27072536328114,10,4,0,0,0,0.428204894065857
条件,0,0.246036861717732,10,4,0,0,0,0.428204894065857
条件,0,0.239968017434677,10,4,0,0,0,0.428204894065857
条件,0,0.219946537000903,10,4,0,0,0,0.428204894065857
本節,0,0.415998908184364,1,4,0,0,0,0.32904389500618
本章,0,0.430294500009655,4,4,0,0,0,0.360913515090942
本章,0,0.422514083966049,4,4,0,0,0,0.360913515090942
本章,0,0.422514083966049,4,4,0,0,0,0.360913515090942
本章,0,0.334808204879971,4,4,0,0,0,0.360913515090942
本書,0,0.415998908184364,1,4,0,0,0,0.32904389500618
最大値,0,0.726554640434693,1,6,0,0,0,0.401311099529266
最大,0,0.581642320928989,4,4,1,0,0,0.376293003559113
最大,0,0.459537102910029,4,4,1,0,0,0.376293003559113
最大,0,0.390821980963054,4,4,1,0,0,0.376293003559113
最大,0,0.382519844467004,4,4,1,0,0,0.376293003559113
最初,0,0.389981945356403,1,4,0,0,0,0.32904389500618
時点,0,0.274772279771358,6,4,0,0,0,0.382883459329605
時点,0,0.267994636098007,6,4,0,0,0,0.382883459329605
時点,0,0.262175196574613,6,4,0,0,0,0.382883459329605
時点,0,0.24563478406292,6,4,0,0,0,0.382883459329605
時点,0,0.214846322779384,6,4,0,0,0,0.382883459329605
時点,0,0.213172638179645,6,4,0,0,0,0.382883459329605
時,0,0.461357193253368,1,2,18,0,1,0.541052103042603
方向,0,0.259669645878538,2,4,3,0,0,0.385277032852173
方向,0,0.206768924650597,2,4,3,0,0,0.385277032852173
斜線,0,0.612681332215331,1,4,0,0,0,0.32904389500618
文書,0,0.477795709858419,1,4,1,0,0,0.343795865774155
数式3,0,0.513726468407959,1,5,0,0,0,0.364413499832153
数字部分,0,0.449454125665954,1,8,0,0,0,0.478139489889145
数字カード黒ブロック,0,0.375129248924623,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.338726919042268,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.247593650212339,4,14.4,0,0,1,0.741472721099854
数字カード黒ブロック,0,0.243189904634449,4,14.4,0,0,1,0.741472721099854
数字カード置き場,0,0.432693175008313,3,12.7,0,0,1,0.67720764875412
数字カード置き場,0,0.302514976553497,3,12.7,0,0,1,0.67720764875412
数字カード置き場,0,0.247565360140721,3,12.7,0,0,1,0.67720764875412
数字カードボーナスサークル,0,0.250580330491209,2,17.2,0,0,1,0.801719069480896
数字カードボーナスサークル,0,0.214216938724965,2,17.2,0,0,1,0.801719069480896
数字カード,0,0.383089822048229,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.273218859225129,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.267835073970318,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.179104359754818,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.16046500822906,6,7.6,9,0,1,0.663735508918762
数字カード,0,0.104753690177135,6,7.6,9,0,1,0.663735508918762
数字,0,0.37725409194052,9,4,20,0,1,0.728210151195526
数字,0,0.352261228586266,9,4,20,0,1,0.728210151195526
数字,0,0.328647032359857,9,4,20,0,1,0.728210151195526
数字,0,0.325517368444542,9,4,20,0,1,0.728210151195526
数字,0,0.319312090430642,9,4,20,0,1,0.728210151195526
数字,0,0.250671081910023,9,4,20,0,1,0.728210151195526
数字,0,0.192217483999762,9,4,20,0,1,0.728210151195526
数字,0,0.147222403810475,9,4,20,0,1,0.728210151195526
数字,0,0.0738587724424765,9,4,20,0,1,0.728210151195526
数,0,0.277121832913277,1,2,31,0,1,0.73569929599762
改版履歴,0,0.592482840459168,1,8,0,0,0,0.478139489889145
操作方法,0,0.443548680582757,1,8,0,0,0,0.478139489889145
提出期限,0,0.518632467607585,1,8,0,0,0,0.478139489889145
提出方法,0,0.518632467607585,1,8,0,0,0,0.478139489889145
描画処理,0,0.402936026271096,2,8,0,0,0,0.489886194467545
描画処理,0,0.357224414920483,2,8,0,0,0,0.489886194467545
接触し,0,0.338169488214891,1,5.1,0,0,0,0.368040204048157
振る舞い,0,0.246898414470542,1,6.2,0,0,0,0.408841997385025
指し,0,0.330562728884245,4,3.1,0,0,0,0.329150497913361
指し,0,0.26101208261374,4,3.1,0,0,0,0.329150497913361
指し,0,0.258596995075106,4,3.1,0,0,0,0.329150497913361
指し,0,0.25369509786501,4,3.1,0,0,0,0.329150497913361
成立時,0,0.435242615823415,1,6,0,0,0,0.401311099529266
成立後,0,0.280415470017553,1,6,1,0,0,0.41728800535202
成立例,0,0.63056059897971,1,6,0,0,0,0.401311099529266
成立し,0,0.433752723401566,3,5.1,0,0,0,0.390179097652435
成立し,0,0.29612224518984,3,5.1,0,0,0,0.390179097652435
成立し,0,0.242665119749824,3,5.1,0,0,0,0.390179097652435
意図的,0,0.169679044720337,1,6,0,0,0,0.401311099529266
必要,0,0.29822374745444,2,4,0,0,0,0.339510679244995
必要,0,0.164354632881973,2,4,0,0,0,0.339510679244995
形状,0,0.459674966685656,2,4,0,0,0,0.339510679244995
形状,0,0.428145178694975,2,4,0,0,0,0.339510679244995
形,0,0.314577019521089,1,2,2,0,0,0.290523588657379
度,0,0.523697929090098,3,2,0,0,0,0.282732844352722
度,0,0.422896112199837,3,2,0,0,0,0.282732844352722
度,0,0.300155776149363,3,2,0,0,0,0.282732844352722
底面,0,0.273514853932514,3,4,0,0,0,0.350136667490005
底面,0,0.270984080993771,3,4,0,0,0,0.350136667490005
底面,0,0.265847377412904,3,4,0,0,0,0.350136667490005
差異,0,0.664076246682374,1,4,0,0,0,0.32904389500618
左側,0,0.333817319076878,1,4,0,0,0,0.32904389500618
左下,0,0.288853363750204,2,4,0,0,0,0.339510679244995
左下,0,0.269857235650446,2,4,0,0,0,0.339510679244995
左上,0,0.509062213452541,2,4,0,0,0,0.339510679244995
左上,0,0.385137818333605,2,4,0,0,0,0.339510679244995
対象,0,0.491316725499451,1,4,0,0,0,0.32904389500618
実行委員会,0,0.468657420320748,8,10,0,0,1,0.635125458240509
実行委員会,0,0.378703532319124,8,10,0,0,1,0.635125458240509
実行委員会,0,0.299990176233854,8,10,0,0,1,0.635125458240509
実行委員会,0,0.289525641430457,8,10,0,0,1,0.635125458240509
実行委員会,0,0.285071026273305,8,10,0,0,1,0.635125458240509
実行委員会,0,0.26502009176912,8,10,0,0,1,0.635125458240509
実行委員会,0,0.234842689183932,8,10,0,0,1,0.635125458240509
実行委員会,0,0.129424582365752,8,10,0,0,1,0.635125458240509
完全,0,0.345469941756155,1,4,0,0,0,0.32904389500618
奥側,0,0.376500141221857,1,4,1,0,0,0.343795865774155
大会,0,0.356919724269873,5,4,0,0,0,0.371832281351089
大会,0,0.348576610032718,5,4,0,0,0,0.371832281351089
大会,0,0.318364529319963,5,4,0,0,0,0.371832281351089
大会,0,0.292528250465405,5,4,0,0,0,0.371832281351089
大会,0,0.291418046289607,5,4,0,0,0,0.371832281351089
外観,0,0.551838049265276,4,4,0,0,0,0.360913515090942
外観,0,0.540966593845966,4,4,0,0,0,0.360913515090942
外観,0,0.492733488293913,4,4,0,0,0,0.360913515090942
外観,0,0.461368124890451,4,4,0,0,0,0.360913515090942
場所,0,0.25888938051225,1,4,0,0,0,0.32904389500618
図,0,0.491813952750755,1,2,38,0,1,0.81553065776825
向き,0,0.491799461061166,2,3.1,0,0,0,0.308721333742142
向き,0,0.45001207758157,2,3.1,0,0,0,0.308721333742142
名称,0,0.461728013699934,1,4,0,0,0,0.32904389500618
名産品,0,0.362943602131451,1,6,0,0,0,0.401311099529266
同様,0,0.491200077027611,4,4,0,0,0,0.360913515090942
同様,0,0.37557932725248,4,4,0,0,0,0.360913515090942
同様,0,0.325882327724879,4,4,0,0,0,0.360913515090942
同様,0,0.232332531184604,4,4,0,0,0,0.360913515090942
各種ゲート等,0,0.448470130524311,1,9.6,0,0,1,0.54053783416748
右側,0,0.333817319076878,1,4,0,0,0,0.32904389500618
右下,0,0.288853363750204,2,4,0,0,0,0.339510679244995
右下,0,0.269857235650446,2,4,0,0,0,0.339510679244995
右上,0,0.5262707387909,2,4,0,0,0,0.339510679244995
右上,0,0.385137818333605,2,4,0,0,0,0.339510679244995
取得方法,0,0.206977511290914,1,8,0,0,0,0.478139489889145
取得可能,0,0.439750429552438,1,8,0,0,0,0.478139489889145
双方,0,0.536322327805291,1,4,0,0,0,0.32904389500618
参加チーム,0,0.347416177180192,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.342953167190108,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.321707413996258,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.321163081561791,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.313737016332618,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.288848113514812,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.283823882984242,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.266153316906769,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.239948649823385,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.232645539362206,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.215942752894105,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.210570284371859,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.180533365049071,14,7.6,0,0,1,0.613365888595581
参加チーム,0,0.157660360156676,14,7.6,0,0,1,0.613365888595581
動作環境,0,0.434541506751016,1,8,0,0,0,0.478139489889145
別途提示,0,0.4809108044832,2,8,0,0,0,0.489886194467545
別途提示,0,0.191923428789571,2,8,0,0,0,0.489886194467545
判定方法,0,0.546470016398971,4,8,0,0,1,0.513400137424469
判定方法,0,0.528373276100265,4,8,0,0,1,0.513400137424469
判定方法,0,0.467816926272547,4,8,0,0,1,0.513400137424469
判定方法,0,0.37557932725248,4,8,0,0,1,0.513400137424469
初期情報,0,0.25888938051225,1,8,0,0,0,0.478139489889145
初期値情報,0,0.321615810249238,1,10,0,0,1,0.556016206741333
初期,0,0.50689623253273,6,4,2,0,0,0.414559125900269
初期,0,0.492222123910513,6,4,2,0,0,0.414559125900269
初期,0,0.346117161820046,6,4,2,0,0,0.414559125900269
初期,0,0.340928615175413,6,4,2,0,0,0.414559125900269
初期,0,0.273218859225129,6,4,2,0,0,0.414559125900269
初期,0,0.131658356218048,6,4,2,0,0,0.414559125900269
分断部分,0,0.27082541557861,2,8,0,0,0,0.489886194467545
分断部分,0,0.257809281645102,2,8,0,0,0,0.489886194467545
出来,0,0.305771992694969,2,4,0,0,0,0.339510679244995
出来,0,0.26215497093359,2,4,0,0,0,0.339510679244995
円柱,0,0.307106697683493,3,4,0,0,0,0.350136667490005
円柱,0,0.282370527408747,3,4,0,0,0,0.350136667490005
円柱,0,0.275463211650007,3,4,0,0,0,0.350136667490005
円,0,0.325205219982972,2,2,3,0,0,0.314381003379822
円,0,0.29901128883001,2,2,3,0,0,0.314381003379822
内側,0,0.250580330491209,2,4,0,0,0,0.339510679244995
内側,0,0.159210283675419,2,4,0,0,0,0.339510679244995
具体的,0,0.443548680582757,1,6,1,0,0,0.41728800535202
全景,0,0.395307332821782,1,4,0,0,0,0.32904389500618
全く関連,0,0.246898414470542,1,7.1,0,0,0,0.443214505910873
停止時,0,0.485310107557583,1,6,0,0,0,0.401311099529266
停止し,0,0.331179410942113,1,5.1,0,0,0,0.368040204048157
例,0,0.50689623253273,6,2,2,0,0,0.341266125440598
例,0,0.474998053665555,6,2,2,0,0,0.341266125440598
例,0,0.433329265024735,6,2,2,0,0,0.341266125440598
例,0,0.27411850152958,6,2,2,0,0,0.341266125440598
例,0,0.133113917572503,6,2,2,0,0,0.341266125440598
例,0,0.104753690177135,6,2,2,0,0,0.341266125440598
任意,0,0.25888938051225,1,4,0,0,0,0.32904389500618
仮想的,0,0.27082541557861,2,6,0,0,0,0.412662833929062
仮想的,0,0.257809281645102,2,6,0,0,0,0.412662833929062
以下,0,0.615776030188385,2,4,0,0,0,0.339510679244995
以下,0,0.425501897770769,2,4,0,0,0,0.339510679244995
交点サークル,0,0.592459826339044,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.563702221822436,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.430836378002272,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.385134840847542,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.372541317820523,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.317770504474692,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.310550219300104,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.237991306392385,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.23130690943629,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.218822094117834,11,8.8,0,0,1,0.624308407306671
交点サークル,0,0.191849946360054,11,8.8,0,0,1,0.624308407306671
事態,0,0.177246275233756,1,4,0,0,0,0.32904389500618
中間ゲート２,0,0.560830940035105,1,8.6,0,0,1,0.501563608646393
中間ゲート2,0,0.467816926272547,4,8.6,0,0,1,0.536774933338165
中間ゲート2,0,0.40356490109224,4,8.6,0,0,1,0.536774933338165
中間ゲート2,0,0.345171302676909,4,8.6,0,0,1,0.536774933338165
中間ゲート2,0,0.186335989642615,4,8.6,0,0,1,0.536774933338165
中間ゲート1,0,0.6332890073357,6,8.6,0,0,1,0.560068488121033
中間ゲート1,0,0.434027057780952,6,8.6,0,0,1,0.560068488121033
中間ゲート1,0,0.374415881101916,6,8.6,0,0,1,0.560068488121033
中間ゲート1,0,0.320239983886339,6,8.6,0,0,1,0.560068488121033
中間ゲート1,0,0.217399805530939,6,8.6,0,0,1,0.560068488121033
中間ゲート1,0,0.172877159421481,6,8.6,0,0,1,0.560068488121033
中間ゲート,0,0.420991342383888,4,7.6,11,0,1,0.672186076641083
中間ゲート,0,0.40356490109224,4,7.6,11,0,1,0.672186076641083
中間ゲート,0,0.29545917131444,4,7.6,11,0,1,0.672186076641083
