単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,概念レベル,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
走行体走行,0,0.247757279676884,1,2.5,0,7,0.545666515827179,0.439003139734268,0.0153303267434239,0
走行体設置,0,1,2,2.5,0,8.33333333333333,0.401295155286789,0.583072900772095,0.0156317893415689,1
走行体設置,0,0.637986849419329,2,2.5,0,8.33333333333333,0.448656499385834,0.533866822719574,0.0174766723066568,1
走行体ソフトウェア,0,0.277195032688478,1,4.5,0,13,0.423282086849213,0.562499642372131,0.0142181795090437,1
走行体,0,0.576431235211752,6,1.5,6,10.5,0.368563890457153,0.548308193683624,0.3831279084086418,2
走行体,0,0.548585266886037,6,1.5,6,10.5,0.371670782566071,0.544500529766083,0.3838286653161049,2
走行体,0,0.416796519917687,6,1.5,6,10.5,0.386426538228989,0.526416718959808,0.3871567502617836,2
走行体,0,0.360732184140008,6,1.5,6,10.5,0.392723262310028,0.518699824810028,0.388576965034008,2
走行体,0,0.335074107284322,6,1.5,6,10.5,0.395607590675354,0.515164911746979,0.3892275050282478,2
走行体,0,0.309204905287546,6,1.5,6,10.5,0.398516923189163,0.51159942150116,0.03898836851119995,2
走行タイム計測方法,0,0.247757279676884,1,4.5,0,28.75,0.429163485765457,0.556476354598999,0.0143602285534143,1
走行タイム計測,0,0.247757279676884,1,3.5,1,24,0.495672404766083,0.487728327512741,0.0165992435067892,0
走行タイムーボーナスタイム,0,0.783093577762029,1,5.9,0,0,0.283389210700989,0.705778062343597,0.0108327912166715,1
走行タイム,0,0.681528552506049,3,2.5,4,26.5,0.428416699171066,0.538592219352722,0.0329911038279533,1
走行タイム,0,0.644817997340363,3,2.5,4,26.5,0.433093518018723,0.533555209636688,0.0333512499928474,1
走行タイム,0,0.259948406740648,3,2.5,4,26.5,0.482326030731201,0.480531483888626,0.0371424965560436,0
走行,0,0.538498405725885,3,1,22,0,0.560935139656067,0.248104870319366,0.190960004925728,0
走行,0,0.415830809414298,3,1,22,0,0.570192456245422,0.235696136951447,0.194111481308937,0
走行,0,0.227557313960083,3,1,22,0,0.583767175674438,0.217500120401382,0.198732748627663,0
試走会,0,0.424006874834254,1,1.5,0,30,0.58425635099411,0.40082710981369,0.0149164758622646,0
設置方法,0,0.277195032688478,1,2,0,23.5,0.573358356952667,0.411304801702499,0.0153369000181556,0
設置,0,0.770662442516793,17,1,18,4,0.0322722122073174,0.2204999178648,0.747227907180786,2
設置,0,0.735220952698904,17,1,18,4,0.0324105992913246,0.217157453298569,0.750431954860687,2
設置,0,0.71906751824534,17,1,18,4,0.0324731580913067,0.215646207332611,0.751880645751953,2
設置,0,0.507078117443121,17,1,18,4,0.0332649424672127,0.196521654725075,0.770213425159454,2
設置,0,0.34217794282246,17,1,18,4,0.0338433161377907,0.182551637291908,0.783605098724365,2
設置,0,0.320421043068992,17,1,18,4,0.0339171960949898,0.180767238140106,0.785315632820129,2
設置,0,0.315741287304537,17,1,18,4,0.0339330062270164,0.180385172367096,0.785681784152985,2
設置,0,0.286125263049002,17,1,18,4,0.0340325012803078,0.177982062101364,0.787985444068909,2
設置,0,0.281157599336674,17,1,18,4,0.0340490899980068,0.177581414580345,0.788369476795197,2
設置,0,0.267196469165361,17,1,18,4,0.0340955406427383,0.176459297537804,0.789445161819458,2
設置,0,0.24795450230216,17,1,18,4,0.0341592021286488,0.174921870231628,0.790918946266174,2
設置,0,0.236597964916191,17,1,18,4,0.0341965556144714,0.174019455909729,0.791784048080444,2
設置,0,0.234378305217927,17,1,18,4,0.0342038460075855,0.173843502998352,0.791952729225159,2
設置,0,0.19724849813228,17,1,18,4,0.0343248322606087,0.17092102766037,0.794754087924957,2
設置,0,0.191931011506476,17,1,18,4,0.0343420282006264,0.170505717396736,0.795152246952057,2
設置,0,0.181478891622471,17,1,18,4,0.0343757309019566,0.169691666960716,0.795932531356812,2
設置,0,0.163081005907235,17,1,18,4,0.0344347432255745,0.168266326189041,0.797298908233643,2
設け,0,0.504605970004323,3,0.6,0,0,0.532332181930542,0.443381577730179,0.0242862030863762,0
設け,0,0.184470819830741,3,0.6,0,0,0.57350093126297,0.400334715843201,0.0261644180864096,0
設け,0,0.174510161824957,3,0.6,0,0,0.574761927127838,0.399016141891479,0.0262219458818436,0
計算,0,0.314134097365052,1,1,1,24,0.632599592208862,0.350486755371094,0.0169136356562376,0
計測終了操作,0,0.266669815587105,1,3,0,32,0.516587018966675,0.468323856592178,0.0150891551747918,1
計測終了,0,0.266669815587105,1,2,1,42.5,0.584262311458588,0.398721486330032,0.0170161705464125,1
計測,0,0.479203431695605,3,1,7,19,0.557222068309784,0.393621861934662,0.0491560697555542,0
計測,0,0.398944367025594,3,1,7,19,0.566887021064758,0.383104264736176,0.0500086769461632,0
計測,0,0.259948406740648,3,1,7,19,0.583385348320007,0.365150541067123,0.0514640994369984,0
触れ,0,0.295035045490992,3,0.6,0,2,0.55966705083847,0.41481214761734,0.0255207736045122,0
触れ,0,0.217440248520846,3,0.6,0,2,0.569568037986755,0.404459714889526,0.0259722582995892,0
触れ,0,0.161038356985915,3,0.6,0,2,0.576714694499969,0.396987229585648,0.0262981466948986,0
規約説明,0,0.289345041671128,1,2,0,14.5,0.570633888244629,0.414068400859833,0.0152977146208286,0
規定,0,0.569764240191978,1,1,0,13,0.592269539833069,0.393214970827103,0.0145155554637313,0
見え,0,0.734453861465561,1,0.6,0,4,0.593054115772247,0.392894417047501,0.0140514336526394,0
複数個所,0,0.268338780376632,1,2,0,71,0.580515503883362,0.404135763645172,0.0153487082570791,0
装飾物設置,0,1,1,2.5,0,37.3333333333333,0.449057549238205,0.538419663906097,0.012522729113698,1
装飾品,0,0.495907058309901,2,1.5,0,43,0.531542003154755,0.449695944786072,0.0187620371580124,0
装飾品,0,0.285032926983153,2,1.5,0,43,0.559158563613892,0.421104580163956,0.0197368245571852,0
落下,0,0.376614050130688,1,1,0,4,0.615683615207672,0.36919367313385,0.0151227070018649,0
緑色交点サークル,0,0.308466623784345,1,3.7,0,16,0.466985493898392,0.518429458141327,0.0145850200206041,1
緑色ブロックサークル,0,0.308466623784345,1,4.7,0,19.6666666666667,0.408345937728882,0.577711164951324,0.013942988589406,1
緑色エリア,0,0.536677560753263,1,2.5,0,77,0.516288161277771,0.469453454017639,0.0142583381384611,0
継続,0,0.265498194650492,2,1,0,9,0.586402356624603,0.393645077943802,0.0199525430798531,0
継続,0,0.228935570861167,2,1,0,9,0.591048657894135,0.388840764760971,0.020110635086894,0
経過待ち,0,0.287325862985356,1,1.6,0,8.5,0.593364953994751,0.391268283128738,0.0153668038547039,0
経過,0,0.574651725970711,1,1,2,17,0.606116652488709,0.376126229763031,0.0177571382373571,0
終了,0,0.508887750142493,2,1,3,66,0.58257120847702,0.391844183206558,0.0255846325308084,0
終了,0,0.228935570861167,2,1,3,66,0.617182195186615,0.355713158845901,0.0271046329289675,0
競技進行,0,0.808226631057377,1,2,0,31,0.503916919231415,0.48262831568718,0.0134546542540193,0
競技終了,0,0.376614050130688,1,2,0,54.5,0.564321279525757,0.420697748661041,0.0149809708818793,0
競技環境配布,0,0.212003437417127,1,3,0,23,0.522710025310516,0.461988300085068,0.0153016988188028,0
競技環境,0,0.289345041671128,1,2,1,28.5,0.579581558704376,0.403480648994446,0.0169378407299519,0
競技全クラス共通,0,0.607718156423826,1,4,0,25.25,0.410811901092529,0.576035976409912,0.0131521495059133,1
競技ターン毎,0,0.326232492327975,1,2.7,0,14.3333333333333,0.524287879467011,0.460741698741913,0.0149705028161407,0
競技スタート位置,0,0.579919362207402,1,3.7,0,43.6666666666667,0.43443837761879,0.552084743976593,0.0134768513962626,1
競技スタート,0,0.256136986695925,2,2.7,1,55,0.500667631626129,0.477858155965805,0.0214741602540016,0
競技スタート,0,0.185320216330411,2,2.7,1,55,0.51000589132309,0.468119412660599,0.0218746829777956,0
競技アドバンストクラス固有,0,0.607718156423826,1,6.5,0,14.3333333333333,0.27485266327858,0.714096367359161,0.0110509749501944,1
競技,0,0.597358969024947,4,1,11,43,0.51296865940094,0.397699803113937,0.0893315300345421,0
競技,0,0.527935283201705,4,1,11,43,0.520750999450684,0.388562142848969,0.0906868055462837,0
競技,0,0.220888708212966,4,1,11,43,0.554314434528351,0.349153816699982,0.0965317338705063,0
競技,0,0.216623554806092,4,1,11,43,0.554769694805145,0.348619282245636,0.0966110303997993,0
移動,0,0.302632932470855,1,1,5,106,0.667754590511322,0.30719256401062,0.025052834302187,0
確認,0,0.266669815587105,1,1,0,3,0.629238188266754,0.355302423238754,0.0154594229534268,0
確定,0,0.24641135284701,2,1,4,26,0.61615264415741,0.353956490755081,0.0298908352851868,0
確定,0,0.228253777146267,2,1,4,26,0.618334233760834,0.351669162511826,0.0299966651946306,0
直線,0,0.298177756753385,2,1,0,40,0.586110651493073,0.394097566604614,0.0197917409241199,0
直線,0,0.185320216330411,2,1,0,40,0.600394010543823,0.379331886768341,0.0202740617096424,0
白部分,0,0.678658622120375,2,1.5,2,142.5,0.534592628479004,0.443372666835785,0.0220347177237272,0
白部分,0,0.678658622120375,2,1.5,2,142.5,0.534592628479004,0.443372666835785,0.0220347177237272,0
番号,0,0.331137545990162,1,1,13,0,0.687147498130798,0.258617579936981,0.054234903305769,0
獲得,0,0.302632932470855,1,1,3,5,0.644490897655487,0.334794580936432,0.0207144841551781,0
状態,0,0.287325862985356,1,1,0,23,0.629100918769836,0.355518579483032,0.0153805119916797,0
照明環境,0,0.683988493939175,2,2,0,18.5,0.473601937294006,0.508805930614471,0.0175921712070704,1
照明環境,0,0.391795777164791,2,2,0,18.5,0.512418925762177,0.46854704618454,0.0190340485423803,0
照明,0,0.212003437417127,1,1,3,23,0.657264709472656,0.321703195571899,0.0210321024060249,0
灰色点線内,0,0.389440319576453,2,2.5,0,5,0.48117133975029,0.500070154666901,0.0187585446983576,1
灰色点線内,0,0.371603605551054,2,2.5,0,5,0.483539164066315,0.497609972953796,0.018850851804018,1
準備,0,0.618870307847493,1,1,2,34,0.602640748023987,0.379777312278748,0.0175819303840399,0
添付,0,0.518305456413089,3,1,1,68,0.522541403770447,0.450871407985687,0.0265872087329626,0
添付,0,0.483115070957745,3,1,1,68,0.527110993862152,0.446069240570068,0.0268197152763605,0
添付,0,0.423177961428929,3,1,1,68,0.534871637821198,0.437913745641708,0.0272145792841911,0
決定,0,0.30144915201672,2,1,1,36,0.591925323009491,0.386188954114914,0.0218857210129499,0
決定,0,0.241653381153526,2,1,1,36,0.599437773227692,0.378398776054382,0.0221634823828936,0
次条件,0,0.240628174493661,1,1.5,0,9,0.605101346969604,0.379370301961899,0.0155283454805613,0
機能,0,0.212003437417127,1,1,0,6,0.636309802532196,0.348068565130234,0.0156216770410538,0
横同一方向,0,0.235629199543308,1,2.5,0,3,0.546754479408264,0.43786957859993,0.0153759513050318,0
横倒し,0,0.227446167131431,2,1.1,0,0,0.584376394748688,0.395515829324722,0.02010777592659,0
横倒し,0,0.222348051951616,2,1.1,0,0,0.585026323795319,0.394843548536301,0.0201301388442516,0
様子,0,0.335270828036417,1,1,3,204,0.663692653179169,0.315990626811981,0.0203166864812374,0
構成要素名称,0,0.571782346756852,1,3,0,31.3333333333333,0.475654095411301,0.510450184345245,0.0138957975432277,1
条件,0,0.503257138923595,2,1,1,18,0.563896298408508,0.415162146091461,0.0209415163844824,0
条件,0,0.227446167131431,2,1,1,18,0.598999202251434,0.378755688667297,0.022245142608881,0
本節,0,0.289345041671128,1,1,0,0,0.626073360443115,0.358533650636673,0.0153929777443409,0
本章,0,0.561550817982142,2,1,0,0,0.546966731548309,0.434381425380707,0.0186518076807261,0
本章,0,0.561550817982142,2,1,0,0,0.546966731548309,0.434381425380707,0.0186518076807261,0
本書,0,0.289345041671128,1,1,0,0,0.626073360443115,0.358533650636673,0.0153929777443409,0
有効移動,0,1,1,2,3,53,0.503811120986938,0.478677034378052,0.0175118744373322,0
最大計測,0,0.457871141722333,2,2,0,9.5,0.502492368221283,0.478801101446152,0.0187065172940493,0
最大計測,0,0.456507554292535,2,2,0,9.5,0.502673327922821,0.478613376617432,0.018713254481554,0
最大値,0,0.314134097365052,1,1.5,0,35.5,0.599047243595123,0.385679244995117,0.0152735095471144,0
時点走行タイム,0,0.247757279676884,1,3.5,0,25.3333333333333,0.488292127847672,0.496763855218887,0.0149440206587315,1
時点,0,0.227446167131431,2,1,1,23,0.599614799022675,0.378144383430481,0.0222407449036837,0
時点,0,0.222348051951616,2,1,1,23,0.600252389907837,0.377483248710632,0.0222643911838531,0
方向自コーススタートライン,0,0.235686063805252,1,5.9,0,42.5,0.352332353591919,0.634338974952698,0.0133287105709314,1
方向自コースゴールゲートゲートライン,0,0.437844477986749,1,7.8,0,23.3333333333333,0.233641907572746,0.755820512771606,0.0105376159772277,1
斜線例,0,0.416420576866784,1,1.5,0,11,0.582843780517578,0.402206361293793,0.0149498367682099,0
数字部分,0,0.185073635322626,1,2,0,160.5,0.602388560771942,0.382029831409454,0.0155816236510873,0
数字向き,0,0.569764240191978,1,1.6,0,35,0.56003326177597,0.425556987524033,0.0144097385928035,0
数字カード黒ブロックボーナスサークル設置,0,1,2,9.1,0,14.2,0.11992409080267,0.871623456478119,0.00845241546630859,1
数字カード黒ブロックボーナスサークル設置,0,0.171013898801254,2,9.1,0,14.2,0.176340088248253,0.811231315135956,0.0124286897480488,1
数字カード黒ブロック,0,0.561718181977196,4,4.7,2,20,0.270887941122055,0.699586570262909,0.0295255146920681,1
数字カード黒ブロック,0,0.329988744031548,4,4.7,2,20,0.29571595788002,0.672052383422852,0.0322316512465477,1
数字カード黒ブロック,0,0.269917400512978,4,4.7,2,20,0.30233958363533,0.664706826210022,0.0329535976052284,1
数字カード黒ブロック,0,0.24670086074072,4,4.7,2,20,0.30491915345192,0.661846101284027,0.0332347564399242,1
数字カード置き場白部分,0,0.335270828036417,1,4.8,0,69,0.405262976884842,0.58094185590744,0.0137951830402017,1
数字カード置き場,0,1,3,3.3,1,20,0.323771387338638,0.655723512172699,0.0205050017684698,1
数字カード置き場,0,0.506079619627136,3,3.3,1,20,0.383800894021988,0.59189236164093,0.0243067778646946,1
数字カード置き場,0,0.2684064545046,3,3.3,1,20,0.413908392190933,0.559878051280975,0.0262135379016399,1
数字カード数字,0,0.353372250610548,3,3.2,0,25,0.402444005012512,0.574492752552032,0.023063201457262,1
数字カード数字,0,0.28386509222848,3,3.2,0,25,0.411334365606308,0.565092980861664,0.0235726926475763,1
数字カード数字,0,0.201789233066124,3,3.2,0,25,0.421889096498489,0.553933322429657,0.0241775549948215,1
数字カード初期設置,0,0.326232492327975,1,4.2,0,10.75,0.434207946062088,0.55158793926239,0.0142042059451342,1
数字カードボーナスサークル内側,0,0.339069582170227,1,6.6,0,12,0.299486100673676,0.688356697559357,0.0121572958305478,1
数字カードボーナスサークル,0,0.313311029476244,2,5.6,1,18,0.322922319173813,0.658929467201233,0.018148148432374,1
数字カードボーナスサークル,0,0.214289093161644,2,5.6,1,18,0.334645867347717,0.646547138690948,0.0188070107251406,1
数字カードボーナス,0,1,1,3.9,3,14,0.386888921260834,0.597000181674957,0.0161108076572418,1
数字カード,0,1,4,2.2,18,19.5,0.416463673114777,0.431244701147079,0.152291625738144,1
数字カード,0,0.481763316286006,4,2.2,18,19.5,0.466489791870117,0.362925082445145,0.170585080981255,0
数字カード,0,0.277712496044627,4,2.2,18,19.5,0.485240012407303,0.337318331003189,0.177441626787186,0
数字カード,0,0.15330072562089,4,2.2,18,19.5,0.496346533298492,0.322150439023972,0.181503042578697,0
数字,0,0.493401721481441,4,1,26,36,0.473733484745026,0.208833500742912,0.317433059215546,0
数字,0,0.402844948048607,4,1,26,36,0.478604346513748,0.200698852539063,0.320696860551834,0
数字,0,0.347236454469415,4,1,26,36,0.481524229049683,0.195822402834892,0.322653353214264,0
数字,0,0.30660145124178,4,1,26,36,0.483623743057251,0.19231604039669,0.324060171842575,0
提示,0,0.375454457413158,1,1,0,13,0.616929948329926,0.367950141429901,0.0151199456304312,0
提出,0,0.277195032688478,1,1,0,1,0.627697348594666,0.356873482465744,0.0154291251674294,0
接地,0,0.227446167131431,2,1,0,9,0.591237425804138,0.388645470142365,0.0201170556247234,0
接地,0,0.222348051951616,2,1,0,9,0.591883540153503,0.3879773914814,0.0201390385627747,0
指し,0,0.227446167131431,2,0.6,0,0,0.612797677516937,0.367045044898987,0.0201572552323341,0
指し,0,0.222348051951616,2,0.6,0,0,0.613430082798004,0.366391837596893,0.020178060978651,0
成立例,0,0.235629199543308,1,1.5,0,15.5,0.606537044048309,0.377922594547272,0.0155404265969992,0
成立,0,0.643673707683099,8,1,6,9,0.297409296035767,0.579190373420715,0.123400345444679,1
成立,0,0.583338555231259,8,1,6,9,0.303157895803452,0.571056544780731,0.125785544514656,1
成立,0,0.4527972434936,8,1,6,9,0.315684884786606,0.553331911563873,0.130983203649521,1
成立,0,0.177937938302452,8,1,6,9,0.342338085174561,0.515619814395905,0.142042070627213,1
成立,0,0.176780313788392,8,1,6,9,0.342450797557831,0.515460312366486,0.1420888453722,1
成立,0,0.172817853516655,8,1,6,9,0.342836737632751,0.514914274215698,0.142248958349228,1
成立,0,0.169268456348972,8,1,6,9,0.343182444572449,0.514425158500671,0.142392411828041,1
成立,0,0.169227616743586,8,1,6,9,0.343186408281326,0.514419555664063,0.142394065856934,1
底面,0,0.227446167131431,2,1,0,4,0.590615570545197,0.389263927936554,0.0201205238699913,0
底面,0,0.222348051951616,2,1,0,4,0.591261923313141,0.388595461845398,0.0201425440609455,0
差異,0,0.54795289263202,1,1,0,19,0.595817446708679,0.389601498842239,0.0145810628309846,0
左側,0,0.515413348537249,1,1,0,1,0.597736060619354,0.387571334838867,0.0146926632151008,0
左下交点サークル,0,0.696216830299477,2,3.7,1,12.6666666666667,0.379341334104538,0.602669239044189,0.0179893244057894,1
左下交点サークル,0,0.387357983103029,2,3.7,1,12.6666666666667,0.418894171714783,0.561240792274475,0.019865021109581,1
対応,0,0.331137545990162,1,1,0,18,0.623069286346436,0.361679017543793,0.0152517193928361,0
審判,0,0.266669815587105,1,1,0,9,0.629961133003235,0.354584455490112,0.0154544552788138,0
実行委員会走行体タッチセンサ押下操作,0,0.458487565812462,1,9,0,14.875,0.183246567845345,0.807526469230652,0.00922707933932543,1
実行委員会決定,0,0.261520672013116,1,3.5,0,30.75,0.487154185771942,0.497956335544586,0.0148894228041172,1
実行委員会,0,0.24795352915495,2,2.5,2,29,0.517333269119263,0.458676010370255,0.0239907819777727,0
実行委員会,0,0.24641135284701,2,2.5,2,29,0.517535090446472,0.458464711904526,0.0240001417696476,0
定義,0,0.330651012216042,1,1,0,0,0.620941638946533,0.363791555166245,0.0152668105438352,0
大会開催地名産品,0,0.268338780376632,1,4,0,4,0.452883571386337,0.532541692256927,0.0145747447386384,1
大会照明,0,0.212003437417127,1,2,0,12.5,0.580425441265106,0.404006749391556,0.0155678391456604,0
大会,0,0.212003437417127,1,1,2,2,0.648730158805847,0.332194298505783,0.0190755352377892,0
同じ色,0,0.421457765657878,1,1.1,0,5,0.604477226734161,0.380544662475586,0.0149781070649624,0
右側,0,0.515413348537249,1,1,0,1,0.597736060619354,0.387571334838867,0.0146926632151008,0
右下交点サークル,0,0.832050294337844,1,3.7,1,9.75,0.404646068811417,0.58150839805603,0.0138454716652632,1
取得方法,0,0.375454457413158,1,2,0,29.5,0.561282157897949,0.4237260222435,0.0149918189272285,0
参照,0,0.424900606953091,6,1,1,0,0.387320131063461,0.559217929840088,0.0534618869423866,1
参照,0,0.419337996853971,6,1,1,0,0.387984961271286,0.558461308479309,0.0535536631941795,1
参照,0,0.396383103959593,6,1,1,0,0.390731066465378,0.55533629655838,0.0539327077567577,1
参照,0,0.253040973019422,6,1,1,0,0.407957494258881,0.53573203086853,0.0563104748725891,1
参照,0,0.221430294110121,6,1,1,0,0.411771357059479,0.531391680240631,0.0568369030952454,1
参照,0,0.204077371966373,6,1,1,0,0.413866847753525,0.529007017612457,0.0571261383593082,1
参加チームクラス,0,0.577350269189626,1,3.7,0,29.6666666666667,0.432984262704849,0.553537845611572,0.013477879576385,1
参加チーム,0,0.415830809414298,3,2.2,1,15.5,0.458401650190353,0.515276253223419,0.0263221152126789,1
参加チーム,0,0.2684064545046,3,2.2,1,15.5,0.477626651525497,0.494947254657745,0.0274260379374027,1
参加チーム,0,0.184470819830741,3,2.2,1,15.5,0.488569378852844,0.483376234769821,0.0280543863773346,0
判断,0,0.266669815587105,1,1,0,65,0.636678636074066,0.347914904356003,0.0154064456000924,0
判定,0,0.287325862985356,1,1,3,44,0.650859475135803,0.328420251607895,0.0207202732563019,0
初期設置情報取得,0,0.658457728974394,1,4,0,26,0.404296278953552,0.582762598991394,0.0129411704838276,1
初期設置例,0,0.667610594726075,1,2.5,0,8.66666666666667,0.48985356092453,0.496389716863632,0.013756662607193,1
初期設置,0,1,1,2,4,2,0.504571139812469,0.476003050804138,0.0194257199764252,0
初期情報,0,0.277195032688478,1,2,0,42,0.57570207118988,0.408967971801758,0.0153299616649747,0
分断部分,0,0.298177756753385,2,2,0,142.5,0.540743172168732,0.439771622419357,0.0194851942360401,0
分断部分,0,0.185320216330411,2,2,0,142.5,0.555489838123322,0.424493581056595,0.0200165808200836,0
分断,0,0.298177756753385,2,1,2,0,0.594411849975586,0.381334632635117,0.0242535565048456,0
分断,0,0.185320216330411,2,1,2,0,0.608417332172394,0.366757690906525,0.02482501976192,0
出来,0,0.308466623784345,1,1,0,0,0.623701810836792,0.360963523387909,0.0153346695005894,0
再現,0,0.212003437417127,1,1,0,13,0.637145757675171,0.34723886847496,0.0156154064461589,0
円柱,0,0.248518146176995,1,1,1,36,0.642003417015076,0.340881884098053,0.0171146802604198,0
具体的,0,0.375454457413158,1,1.5,0,0,0.586748898029327,0.398160487413406,0.0150906089693308,0
公開,0,0.212003437417127,1,1,0,11,0.636906981468201,0.347475796937943,0.0156172011047602,0
使用,0,0.247757279676884,1,1,0,24,0.634087741374969,0.350413620471954,0.0154986372217536,0
位置,0,0.309800860381236,2,1,2,21,0.595547616481781,0.380277216434479,0.0241752080619335,0
位置,0,0.285032926983153,2,1,2,21,0.598637223243713,0.377062201499939,0.0243006255477667,0
任意場所,0,0.277195032688478,1,2,0,48.5,0.576524674892426,0.408147901296616,0.0153274396434426,0
仮想的,0,0.298177756753385,2,1.5,0,6,0.552735447883606,0.427576780319214,0.0196877494454384,0
仮想的,0,0.185320216330411,2,1.5,0,6,0.56738007068634,0.412410527467728,0.0202093739062548,0
交点サークル円中心,0,0.454164073814145,1,4.2,0,10.5,0.417340010404587,0.569006741046906,0.0136532401666045,1
交点サークル,0,1,5,2.7,8,19,0.314474999904633,0.617492139339447,0.0680327787995338,1
交点サークル,0,0.386231666454855,5,2.7,8,19,0.382281690835953,0.535016417503357,0.0827019363641739,1
交点サークル,0,0.316380044322342,5,2.7,8,19,0.390173345804214,0.525417447090149,0.0844092071056366,1
交点サークル,0,0.299183253463326,5,2.7,8,19,0.392118811607361,0.523051142692566,0.0848300755023956,1
交点サークル,0,0.240339856318086,5,2.7,8,19,0.398781627416611,0.51494687795639,0.0862714871764183,1
中間ゲートゲートライン,0,0.200556132428184,1,4.9,0,6.5,0.409095883369446,0.576635599136353,0.0142684383317828,1
中間ゲート2通過,0,0.404040949161404,1,3.2,0,8,0.483100205659866,0.502447545528412,0.0144522236660123,1
中間ゲート2,0,0.235686063805252,1,2.2,1,9.33333333333333,0.572466373443604,0.410419434309006,0.0171141587197781,0
中間ゲート1,0,0.37334662968607,2,2.2,1,9.33333333333333,0.509020388126373,0.469873696565628,0.0211058631539345,0
中間ゲート1,0,0.21778138519944,2,2.2,1,9.33333333333333,0.52948260307312,0.448563069105148,0.0219543091952801,0
中間ゲート,0,0.200556132428184,1,2.2,6,14,0.610366344451904,0.361089318990707,0.0285442993044853,0
両者総称,0,0.23190665647302,1,2,0,0,0.576267123222351,0.408229112625122,0.0155037082731724,0
上限計測,0,0.247019432974124,1,2,0,10,0.575570583343506,0.408982366323471,0.0154470801353455,0
上限,0,0.247019432974124,1,1,1,1,0.638032078742981,0.344812661409378,0.017155272886157,0
上記,0,0.495769680807839,3,1,0,0,0.50987434387207,0.466010749340057,0.0241149142384529,0
上記,0,0.395182361450693,3,1,0,0,0.523032128810883,0.452230662107468,0.0247372221201658,0
上記,0,0.364762709940814,3,1,0,0,0.526998519897461,0.448076695203781,0.0249248202890158,0
上下,0,0.707106781186548,1,1,0,0,0.572836875915527,0.413079142570496,0.0140840746462345,0
一致,0,0.463813312946039,1,1,0,18,0.606412649154663,0.378743290901184,0.0148439891636372,0
