単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Probabilities for Class "0",Scored Probabilities for Class "1",Scored Probabilities for Class "2",Scored Labels
試走会,0,0.37210755621779,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
試走会,0,0.339818450760123,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
設け,0,0.458504188149872,3,3.1,0,0,0.742383480072021,0.222567498683929,0.0350490584969521,0
設け,0,0.416987060807315,3,3.1,0,0,0.742383480072021,0.222567498683929,0.0350490584969521,0
設け,0,0.261742832377091,3,3.1,0,0,0.742383480072021,0.222567498683929,0.0350490584969521,0
計測終了操作,0,0.181621808114622,1,12,0,0,0.283055037260056,0.6820028424263,0.0349420458078384,1
計測方法,0,0.559487116407767,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
触れ,0,0.258906719180303,2,3.1,0,0,0.744692981243134,0.221201166510582,0.0341058261692524,0
触れ,0,0.164582353944821,2,3.1,0,0,0.744692981243134,0.221201166510582,0.0341058261692524,0
規約説明,0,0.399338172978456,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
複数個所,0,0.35586659115905,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
装飾物,0,0.61407316990895,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
装飾品,0,0.412327535984927,3,6,0,0,0.602168500423431,0.35816878080368,0.0396627299487591,0
装飾品,0,0.305546456604163,3,6,0,0,0.602168500423431,0.35816878080368,0.0396627299487591,0
装飾品,0,0.240610067845453,3,6,0,0,0.602168500423431,0.35816878080368,0.0396627299487591,0
自動判定,0,0.541087041967288,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
緑色,0,0.481220135690905,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
緑色,0,0.412327535984927,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
緑色,0,0.305546456604163,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
経過待ち,0,0.181621808114622,1,7.1,0,0,0.547202467918396,0.414314121007919,0.0384834073483944,0
競技終了,0,0.181621808114622,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
競技環境,0,0.491354566303186,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
競技環境,0,0.37210755621779,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
移動先,0,0.337574562786685,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
秒単位,0,0.517448559593396,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
直線,0,0.295706945679566,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
直線,0,0.289886803501541,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
白部分,0,0.404881283825577,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
白部分,0,0.335124871815965,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
番号,0,0.473906162672771,2,4,7,0,0.599181711673737,0.217320963740349,0.183497279882431,0
番号,0,0.192160690445683,2,4,7,0,0.599181711673737,0.217320963740349,0.183497279882431,0
状態,0,0.385690173873888,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
状態,0,0.166599018102129,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
照明環境,0,0.445489003249862,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
照明環境,0,0.339818450760123,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
灰色点線内,0,0.38124293252284,2,10,0,0,0.382074534893036,0.579281032085419,0.0386444292962551,1
灰色点線内,0,0.361245657205533,2,10,0,0,0.382074534893036,0.579281032085419,0.0386444292962551,1
添付数字,0,0.20948846184618,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
流れ,0,0.573294773087776,1,3.1,0,0,0.746979176998138,0.219834238290787,0.0331866145133972,0
横倒し,0,0.351448415698526,2,5.1,0,0,0.651864528656006,0.310573875904083,0.0375616066157818,0
横倒し,0,0.346154766645651,2,5.1,0,0,0.651864528656006,0.310573875904083,0.0375616066157818,0
様子,0,0.673124727251059,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
構成要素,0,0.544173401508741,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
構成要素,0,0.423899975761076,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
条件,0,0.496462063954771,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
条件,0,0.293210551724707,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
条件,0,0.292310902277872,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
本節,0,0.399338172978456,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
本書,0,0.399338172978456,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
最大計測,0,0.602654791086694,3,8,0,0,0.490939259529114,0.468376338481903,0.0406844019889832,0
最大計測,0,0.509678096872296,3,8,0,0,0.490939259529114,0.468376338481903,0.0406844019889832,0
最大計測,0,0.43002085061232,3,8,0,0,0.490939259529114,0.468376338481903,0.0406844019889832,0
最大値,0,0.758710694367956,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
時間帯,0,0.519677528083262,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
時点,0,0.293210551724707,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
時点,0,0.292310902277872,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
時点,0,0.254839048436148,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
方向,0,0.249851727497905,2,4,3,0,0.677933752536774,0.247704416513443,0.0743618980050087,0
方向,0,0.198314214504732,2,4,3,0,0.677933752536774,0.247704416513443,0.0743618980050087,0
斜線,0,0.608570819712101,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
数式3,0,0.510317830746584,1,5,0,0,0.659507036209106,0.304049164056778,0.036443717777729,0
数字部分,0,0.440307039794124,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
数字カード黒ブロック,0,0.381547257271399,4,14.4,0,0,0.180325508117676,0.787552177906036,0.0321223773062229,1
数字カード黒ブロック,0,0.344240442192099,4,14.4,0,0,0.180325508117676,0.787552177906036,0.0321223773062229,1
数字カード黒ブロック,0,0.238866536054304,4,14.4,0,0,0.180325508117676,0.787552177906036,0.0321223773062229,1
数字カード黒ブロック,0,0.229055842205602,4,14.4,0,0,0.180325508117676,0.787552177906036,0.0321223773062229,1
数字カード置き場,0,0.431664220518624,3,12.7,0,0,0.247644707560539,0.717150032520294,0.0352052599191666,1
数字カード置き場,0,0.31368391651093,3,12.7,0,0,0.247644707560539,0.717150032520294,0.0352052599191666,1
数字カード置き場,0,0.240610067845453,3,12.7,0,0,0.247644707560539,0.717150032520294,0.0352052599191666,1
数字カードボーナスサークル,0,0.258906719180303,2,17.2,0,0,0.104839980602264,0.87092113494873,0.0242389310151339,1
数字カードボーナスサークル,0,0.202586513688478,2,17.2,0,0,0.104839980602264,0.87092113494873,0.0242389310151339,1
数字カード,0,0.374269084151112,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字カード,0,0.27197573151749,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字カード,0,0.258129449439738,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字カード,0,0.164412193453249,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字カード,0,0.155950956637951,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字カード,0,0.10505986016837,6,7.6,9,0,0.363446563482285,0.319029271602631,0.317524135112762,0
数字,0,0.343926789199317,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.334392817051374,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.327563728111605,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.315192638472933,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.296684984303551,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.232899793034784,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.189582550480657,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.140708259376793,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
数字,0,0.0651596941187457,9,4,17,0,0.158374577760696,0.060170441865921,0.781454861164093,2
指し,0,0.351448415698526,2,3.1,0,0,0.744692981243134,0.221201166510582,0.0341058261692524,0
指し,0,0.346154766645651,2,3.1,0,0,0.744692981243134,0.221201166510582,0.0341058261692524,0
成立例,0,0.633182923235434,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
形状,0,0.443622480113938,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
形状,0,0.423899975761076,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
底面,0,0.351448415698526,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
底面,0,0.346154766645651,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
差異,0,0.73692700814306,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
左側,0,0.34573949256776,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
左下,0,0.266959420858691,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
左下,0,0.258412824348394,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
左上,0,0.388042724876603,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
実行委員会,0,0.480998064662806,5,10,0,0,0.374577939510345,0.583919882774353,0.0415022224187851,1
実行委員会,0,0.337766005520746,5,10,0,0,0.374577939510345,0.583919882774353,0.0415022224187851,1
実行委員会,0,0.276111064858311,5,10,0,0,0.374577939510345,0.583919882774353,0.0415022224187851,1
実行委員会,0,0.237656536981928,5,10,0,0,0.374577939510345,0.583919882774353,0.0415022224187851,1
実行委員会,0,0.140917388948172,5,10,0,0,0.374577939510345,0.583919882774353,0.0415022224187851,1
大会開催地,0,0.35586659115905,1,10,0,0,0.384573608636856,0.577693402767181,0.037733007222414,1
大会,0,0.37210755621779,2,4,1,0,0.69813996553421,0.25602987408638,0.0458301976323128,0
大会,0,0.339818450760123,2,4,1,0,0.69813996553421,0.25602987408638,0.0458301976323128,0
外観,0,0.604193945479806,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
向き,0,0.512043105189199,1,3.1,0,0,0.746979176998138,0.219834238290787,0.0331866145133972,0
名称,0,0.462124452679993,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
名産品,0,0.35586659115905,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
右側,0,0.34573949256776,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
右下,0,0.266959420858691,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
右下,0,0.258412824348394,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
取得方法,0,0.20948846184618,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
参加チーム,0,0.368175423666319,4,7.6,0,0,0.510806918144226,0.44751513004303,0.0416779704391956,0
参加チーム,0,0.359564230877397,4,7.6,0,0,0.510806918144226,0.44751513004303,0.0416779704391956,0
参加チーム,0,0.301213384560675,4,7.6,0,0,0.510806918144226,0.44751513004303,0.0416779704391956,0
参加チーム,0,0.2278534008938,4,7.6,0,0,0.510806918144226,0.44751513004303,0.0416779704391956,0
別途提示,0,0.20948846184618,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
判定方法,0,0.440307039794124,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
初期設置,0,0.563436990506069,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
初期設置,0,0.391868474457848,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
初期位置,0,0.346744531012211,1,8,0,0,0.496398150920868,0.464890599250793,0.0387112013995647,0
分断部分,0,0.295706945679566,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
分断部分,0,0.289886803501541,2,8,0,0,0.493672549724579,0.46664097905159,0.0396864525973797,0
出来,0,0.280235894712524,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
円柱,0,0.32101731595486,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
円柱,0,0.304495727272417,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
内側,0,0.258906719180303,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
内側,0,0.164582353944821,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
全景,0,0.420469145310785,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
仮想的,0,0.295706945679566,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
仮想的,0,0.289886803501541,2,6,0,0,0.604884266853333,0.35646653175354,0.0386491641402245,0
交点サークル,0,0.629156677224339,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
交点サークル,0,0.577746703828853,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
交点サークル,0,0.363048174891458,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
交点サークル,0,0.26052652810726,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
交点サークル,0,0.25130298604167,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
交点サークル,0,0.20861796148372,6,8.8,0,0,0.437731057405472,0.518708527088165,0.0435604155063629,1
事態,0,0.181621808114622,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
中間ゲート2,0,0.35120658007396,2,8.6,0,0,0.459704041481018,0.5007044672966,0.0395915322005749,1
中間ゲート2,0,0.198314214504732,2,8.6,0,0,0.459704041481018,0.5007044672966,0.0395915322005749,1
中間ゲート1,0,0.35120658007396,2,8.6,0,0,0.459704041481018,0.5007044672966,0.0395915322005749,1
中間ゲート1,0,0.198314214504732,2,8.6,0,0,0.459704041481018,0.5007044672966,0.0395915322005749,1
中間ゲート,0,0.325919697444277,2,7.6,4,0,0.483544558286667,0.412797957658768,0.103657476603985,0
中間ゲート,0,0.279633505360368,2,7.6,4,0,0.483544558286667,0.412797957658768,0.103657476603985,0
中心軸,0,0.349964519743344,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
中心,0,0.349964519743344,1,4,1,0,0.700755536556244,0.254619389772415,0.0446250736713409,0
中央,0,0.34573949256776,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
両者,0,0.574508562650838,1,4,0,0,0.70757132768631,0.257570385932922,0.0348582528531551,0
上限,0,0.643847513314149,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
上限,0,0.474647966791609,2,4,0,0,0.705122709274292,0.259067952632904,0.0358093939721584,0
上記,0,0.439639348862698,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
上記,0,0.300478948013879,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
上記,0,0.0832932077235083,3,4,0,0,0.702652096748352,0.26056295633316,0.0367848910391331,0
一方向,0,0.336445050966046,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
リザルトタイム確定,0,0.356282805771596,3,12.4,0,0,0.260749787092209,0.703437149524689,0.0358131155371666,1
リザルトタイム確定,0,0.293210551724707,3,12.4,0,0,0.260749787092209,0.703437149524689,0.0358131155371666,1
リザルトタイム確定,0,0.292310902277872,3,12.4,0,0,0.260749787092209,0.703437149524689,0.0358131155371666,1
リザルトタイム,0,0.536070887017267,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リザルトタイム,0,0.402805200227004,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リザルトタイム,0,0.379899461731548,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リザルトタイム,0,0.365953728330895,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リザルトタイム,0,0.262109647126272,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リザルトタイム,0,0.135205989256759,6,8.4,3,1,0.0666032582521439,0.894334018230438,0.0390627235174179,1
リクエスト,0,0.280235894712524,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
マイナス,0,0.61052556056519,1,4.8,0,0,0.669454574584961,0.294391870498657,0.03615353256464,0
ボーナスブロック,0,0.811705488210194,1,9.6,0,0,0.406433284282684,0.555479109287262,0.0380876511335373,1
ボーナスタイム獲得例,0,0.572492054822307,1,14.4,0,0,0.184832662343979,0.785110831260681,0.0300565287470818,1
ボーナスタイム獲得,0,0.414958657965311,1,12.4,1,0,0.262438505887985,0.693715572357178,0.0438459031283855,1
ボーナスタイム,0,0.42253792028792,4,8.4,2,0,0.453739851713181,0.478448450565338,0.0678117349743843,1
ボーナスタイム,0,0.413770148310184,4,8.4,2,0,0.453739851713181,0.478448450565338,0.0678117349743843,1
ボーナスタイム,0,0.404518015754607,4,8.4,2,0,0.453739851713181,0.478448450565338,0.0678117349743843,1
ボーナスタイム,0,0.274474161367118,4,8.4,2,0,0.453739851713181,0.478448450565338,0.0678117349743843,1
ボーナスサークル設置,0,0.313252109495409,2,13.6,0,0,0.21268256008625,0.754794180393219,0.0325233042240143,1
ボーナスサークル設置,0,0.258906719180303,2,13.6,0,0,0.21268256008625,0.754794180393219,0.0325233042240143,1
ボーナスサークル,0,0.493272085572819,3,9.6,6,0,0.351923704147339,0.484583377838135,0.163492888212204,1
ボーナスサークル,0,0.293210551724707,3,9.6,6,0,0.351923704147339,0.484583377838135,0.163492888212204,1
ボーナスサークル,0,0.189625230445428,3,9.6,6,0,0.351923704147339,0.484583377838135,0.163492888212204,1
ボーナス,0,0.6387269475519,1,4.8,16,0,0.212387293577194,0.0906817242503166,0.696930944919586,2
ブロック搬入,0,0.6387269475519,1,8.8,0,0,0.451091796159744,0.510345697402954,0.0385625325143337,1
ブロックブロックビンゴ2020,0,0.483625401136481,1,17.2,0,0,0.105766095221043,0.870512783527374,0.0237211808562279,1
ブロックビンゴ2020エリア,0,0.462124452679993,1,16,1,0,0.134408429265022,0.831640601158142,0.0339509397745132,1
ブロックビンゴ2020,0,0.491256287558171,4,12.4,3,0,0.249150350689888,0.674657940864563,0.0761916488409042,1
ブロックビンゴ2020,0,0.465480204845838,4,12.4,3,0,0.249150350689888,0.674657940864563,0.0761916488409042,1
ブロックビンゴ2020,0,0.382485701557782,4,12.4,3,0,0.249150350689888,0.674657940864563,0.0761916488409042,1
ブロックビンゴ2020,0,0.274474161367118,4,12.4,3,0,0.249150350689888,0.674657940864563,0.0761916488409042,1
ブロックサークル番号8,0,0.258412824348394,2,14.6,0,0,0.176486060023308,0.79324197769165,0.030271977186203,1
ブロックサークル番号8,0,0.177972947239127,2,14.6,0,0,0.176486060023308,0.79324197769165,0.030271977186203,1
ブロックサークル番号6,0,0.258412824348394,2,14.6,0,0,0.176486060023308,0.79324197769165,0.030271977186203,1
ブロックサークル番号6,0,0.177972947239127,2,14.6,0,0,0.176486060023308,0.79324197769165,0.030271977186203,1
ブロックサークル番号3,0,0.194021362438301,1,14.6,0,0,0.177948921918869,0.792441725730896,0.0296093598008156,1
ブロックサークル番号1,0,0.194021362438301,1,14.6,0,0,0.177948921918869,0.792441725730896,0.0296093598008156,1
ブロックサークル番号,0,0.44170883279976,1,13.6,6,0,0.193440690636635,0.672691702842712,0.133867621421814,1
ブロックサークル内,0,0.340451286879153,1,11.6,0,0,0.302107244729996,0.662272989749908,0.0356197990477085,1
ブロックサークル,0,0.534277338073487,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロックサークル,0,0.493236580359746,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロックサークル,0,0.309403551270028,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロックサークル,0,0.293174455669603,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロックサークル,0,0.20861796148372,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロックサークル,0,0.155950956637951,6,9.6,8,0,0.30666446685791,0.432565301656723,0.260770291090012,1
ブロック,0,0.484214681669463,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.421397348081592,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.357055478567393,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.346854510786326,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.309624936514427,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.250993376284413,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
ブロック,0,0.24868401119844,7,4.8,49,0,5.32090089109261E-05,2.25989515456604E-05,0.999924659729004,2
フルビンゴ,0,0.346189415752243,1,6,0,1,0.1177943572402,0.861346542835236,0.0208590179681778,1
ビンゴ,0,0.317554468488029,2,3.6,11,1,0.134491518139839,0.551728546619415,0.313779979944229,1
ビンゴ,0,0.308616105731588,2,3.6,11,1,0.134491518139839,0.551728546619415,0.313779979944229,1
ナンバー黒ブロック,0,0.349763564700733,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.3365540544897,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.31578672775392,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.303646571508883,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.300488840239933,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.210698674040796,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバー黒ブロック,0,0.158396044490976,7,11.6,0,0,0.289103955030441,0.669992089271545,0.0409039482474327,1
ナンバーボーナスサークル,0,0.258906719180303,2,14.4,0,0,0.183323100209236,0.785946130752563,0.0307308156043291,1
ナンバーボーナスサークル,0,0.202586513688478,2,14.4,0,0,0.183323100209236,0.785946130752563,0.0307308156043291,1
トリプルビンゴ,0,0.346189415752243,1,8.4,0,1,0.0707995742559433,0.91268527507782,0.0165151599794626,1
チーム,0,0.435330750166634,1,3.6,5,0,0.667569577693939,0.21906778216362,0.113362587988377,0
ダブルビンゴ,0,0.346189415752243,1,7.2,0,1,0.0916407108306885,0.889734208583832,0.018625121563673,1
ターン毎,0,0.346744531012211,1,5.6,0,0,0.628760099411011,0.334017068147659,0.0372227840125561,0
タッチセンサ押下操作,0,0.561936976015125,2,15.2,1,0,0.156076952815056,0.806849360466003,0.0370737686753273,1
タッチセンサ押下操作,0,0.428926927205226,2,15.2,1,0,0.156076952815056,0.806849360466003,0.0370737686753273,1
タイム,0,0.560026133272618,2,3.6,20,0,0.104703791439533,0.0337330102920532,0.861563205718994,2
タイム,0,0.468107053910257,2,3.6,20,0,0.104703791439533,0.0337330102920532,0.861563205718994,2
タイミング,0,0.427204563897986,1,6,0,0,0.607584238052368,0.354755938053131,0.0376597531139851,0
スポンサー看板,0,0.35586659115905,1,10,0,0,0.384573608636856,0.577693402767181,0.037733007222414,1
スタート準備走行,0,0.593243335019622,1,12.8,0,0,0.247157528996468,0.719396352767944,0.0334461033344269,1
スタート準備,0,0.346744531012211,1,8.8,1,0,0.446473151445389,0.504189789295197,0.0493370294570923,1
スタート位置,0,0.534014775633368,1,8.8,0,0,0.451091796159744,0.510345697402954,0.0385625325143337,1
スタートライン手前,0,0.441390781757739,1,12.4,0,0,0.264727264642715,0.701057195663452,0.0342155247926712,1
スタートライン,0,0.527354200078108,4,8.4,1,0,0.460401266813278,0.486368626356125,0.0532301254570484,1
